Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,200.00000E-009,192.00000E-012,1.04167E+003,38.40000E-018,17.97200E-003,1600,-400.00000E-009,213.00000E-012,-1.87793E+003,-85.20000E-018,17.97200E-003,1600,0.00000E+000
1,1,2,-2.00000E+000,-2.31700E-009,863.18558E+006,4.63400E-009,22.52800E-003,1664,3.90000E-006,4.17300E-009,934.57944E+000,16.27470E-015,22.52800E-003,1600,0.00000E+000
1,1,3,-4.00000E+000,-4.50400E-009,888.09947E+006,18.01600E-009,26.82600E-003,1728,2.60000E-006,3.25600E-009,798.52580E+000,8.46560E-015,26.82600E-003,1600,0.00000E+000
1,1,4,-6.00000E+000,-4.99600E-009,1.20096E+009,29.97600E-009,30.80200E-003,1728,2.10000E-006,2.57500E-009,815.53398E+000,5.40750E-015,30.80200E-003,1600,0.00000E+000
1,1,5,-8.00000E+000,-3.50300E-009,2.28376E+009,28.02400E-009,34.73000E-003,1728,1.30000E-006,3.47600E-009,373.99310E+000,4.51880E-015,34.73000E-003,1600,0.00000E+000
1,1,6,-10.00000E+000,-2.25700E-009,4.43066E+009,22.57000E-009,38.68000E-003,1728,1.30000E-006,3.81500E-009,340.76016E+000,4.95950E-015,38.68000E-003,1600,0.00000E+000
1,1,7,-12.00000E+000,-2.93300E-009,4.09137E+009,35.19600E-009,42.64800E-003,1728,2.50000E-006,1.87200E-009,1.33547E+003,4.68000E-015,42.64800E-003,1600,0.00000E+000
1,1,8,-14.00000E+000,-3.15500E-009,4.43740E+009,44.17000E-009,46.59200E-003,1728,1.20000E-006,792.00000E-012,1.51515E+003,950.40000E-018,46.59200E-003,1600,0.00000E+000
1,1,9,-16.00000E+000,-2.15000E-009,7.44186E+009,34.40000E-009,50.54100E-003,1728,-700.00000E-009,1.66400E-009,-420.67308E+000,-1.16480E-015,50.54100E-003,1600,0.00000E+000
1,1,10,-18.00000E+000,-1.23700E-009,14.55133E+009,22.26600E-009,54.90500E-003,1728,-1.50000E-006,2.37200E-009,-632.37774E+000,-3.55800E-015,54.90500E-003,1600,0.00000E+000
1,1,11,-20.00000E+000,-2.10200E-009,9.51475E+009,42.04000E-009,59.22700E-003,1728,-900.00000E-009,954.00000E-012,-943.39623E+000,-858.60000E-018,59.22700E-003,1600,0.00000E+000
1,1,12,-22.00000E+000,-2.57800E-009,8.53375E+009,56.71600E-009,63.48400E-003,1792,600.00000E-009,28.00000E-012,21.42857E+003,16.80000E-018,63.48400E-003,1600,0.00000E+000
1,1,13,-24.00000E+000,-1.48000E-009,16.21622E+009,35.52000E-009,68.17100E-003,1792,0.00000E+000,1.27500E-009,0.00000E+000,0.00000E+000,68.17100E-003,1600,0.00000E+000
1,1,14,-26.00000E+000,-732.00000E-012,35.51913E+009,19.03200E-009,72.30400E-003,1792,-100.00000E-009,2.11400E-009,-47.30369E+000,-211.40000E-018,72.30400E-003,1600,0.00000E+000
1,1,15,-28.00000E+000,-1.98100E-009,14.13428E+009,55.46800E-009,76.26500E-003,1792,3.40000E-006,448.00000E-012,7.58929E+003,1.52320E-015,76.26500E-003,1600,0.00000E+000
1,1,16,-30.00000E+000,-2.45300E-009,12.22992E+009,73.59000E-009,80.37100E-003,1792,2.00000E-006,-353.00000E-012,-5.66572E+003,-706.00000E-018,80.37100E-003,1600,0.00000E+000
1,1,17,-32.00000E+000,-1.42400E-009,22.47191E+009,45.56800E-009,84.28900E-003,1792,-500.00000E-009,921.00000E-012,-542.88817E+000,-460.50000E-018,84.28900E-003,1600,0.00000E+000
1,1,18,-34.00000E+000,-764.00000E-012,44.50262E+009,25.97600E-009,88.19100E-003,1792,-2.40000E-006,1.72100E-009,-1.39454E+003,-4.13040E-015,88.19100E-003,1600,0.00000E+000
1,1,19,-36.00000E+000,-1.71400E-009,21.00350E+009,61.70400E-009,92.12100E-003,1792,2.40000E-006,575.00000E-012,4.17391E+003,1.38000E-015,92.12100E-003,1600,0.00000E+000
1,1,20,-38.00000E+000,-2.42800E-009,15.65074E+009,92.26400E-009,97.13400E-003,1792,1.50000E-006,-477.00000E-012,-3.14465E+003,-715.50000E-018,97.13400E-003,1600,0.00000E+000
1,1,21,-40.00000E+000,-1.37500E-009,29.09091E+009,55.00000E-009,101.24700E-003,1792,-300.00000E-009,933.00000E-012,-321.54341E+000,-279.90000E-018,101.24700E-003,1600,0.00000E+000
1,1,22,-42.00000E+000,-671.00000E-012,62.59314E+009,28.18200E-009,105.35700E-003,1792,-800.00000E-009,1.86300E-009,-429.41492E+000,-1.49040E-015,105.35700E-003,1600,0.00000E+000
1,1,23,-44.00000E+000,-1.98700E-009,22.14394E+009,87.42800E-009,109.85800E-003,1792,2.80000E-006,273.00000E-012,10.25641E+003,764.40000E-018,109.85800E-003,1600,0.00000E+000
1,1,24,-46.00000E+000,-2.64400E-009,17.39788E+009,121.62400E-009,113.89500E-003,1792,1.70000E-006,-372.00000E-012,-4.56989E+003,-632.40000E-018,113.89500E-003,1600,0.00000E+000
1,1,25,-48.00000E+000,-1.72700E-009,27.79386E+009,82.89600E-009,117.83900E-003,1792,1.70000E-006,1.12100E-009,1.51650E+003,1.90570E-015,117.83900E-003,1600,0.00000E+000
1,1,26,-50.00000E+000,-1.25200E-009,39.93610E+009,62.60000E-009,121.84100E-003,1792,-2.10000E-006,2.20500E-009,-952.38095E+000,-4.63050E-015,121.84100E-003,1600,0.00000E+000
1,1,27,-52.00000E+000,-2.65900E-009,19.55622E+009,138.26800E-009,125.82400E-003,1792,1.70000E-006,1.17000E-009,1.45299E+003,1.98900E-015,125.82400E-003,1600,0.00000E+000
1,1,28,-54.00000E+000,-3.65700E-009,14.76620E+009,197.47800E-009,129.86100E-003,1792,1.70000E-006,841.00000E-012,2.02140E+003,1.42970E-015,129.86100E-003,1600,0.00000E+000
