Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-60.00000E+000,-8.36500E-009,7.17274E+009,501.90000E-009,16.50900E-003,1792,-60.00000E+000,20.00000E+000,2.30200E-009,8.68810E+009,46.04000E-009,16.50900E-003,1728,20.00000E+000
1,1,2,-60.00000E+000,-6.39200E-009,9.38673E+009,383.52000E-009,29.70800E-003,1792,-60.00000E+000,18.00000E+000,2.42100E-009,7.43494E+009,43.57800E-009,29.70800E-003,1728,18.00000E+000
1,1,3,-60.00000E+000,-5.84000E-009,10.27397E+009,350.40000E-009,41.52200E-003,1792,-60.00000E+000,16.00000E+000,956.00000E-012,16.73640E+009,15.29600E-009,41.52200E-003,1728,16.00000E+000
1,1,4,-60.00000E+000,-5.15600E-009,11.63693E+009,309.36000E-009,53.61400E-003,1792,-60.00000E+000,14.00000E+000,-24.00000E-012,-583.33333E+009,-336.00000E-012,53.61400E-003,1728,14.00000E+000
1,1,5,-60.00000E+000,-3.43700E-009,17.45708E+009,206.22000E-009,57.90900E-003,1792,-60.00000E+000,12.00000E+000,-1.29000E-009,-9.30233E+009,-15.48000E-009,57.90900E-003,1728,12.00000E+000
1,1,6,-60.00000E+000,-3.72400E-009,16.11171E+009,223.44000E-009,72.26000E-003,1792,-60.00000E+000,10.00000E+000,-1.20200E-009,-8.31947E+009,-12.02000E-009,72.26000E-003,1728,10.00000E+000
1,1,7,-60.00000E+000,-1.87400E-009,32.01708E+009,112.44000E-009,75.84900E-003,1792,-60.00000E+000,7.99988E+000,749.00000E-012,10.68075E+009,5.99191E-009,75.84900E-003,1728,8.00000E+000
1,1,8,-60.00000E+000,-1.94600E-009,30.83248E+009,116.76000E-009,87.67600E-003,1792,-60.00000E+000,6.00000E+000,-1.37100E-009,-4.37637E+009,-8.22600E-009,87.67600E-003,1728,6.00000E+000
1,1,9,-60.00000E+000,-1.10800E-009,54.15162E+009,66.48000E-009,100.16400E-003,1792,-60.00000E+000,4.00000E+000,-688.00000E-012,-5.81395E+009,-2.75200E-009,100.16400E-003,1728,4.00000E+000
1,1,10,-60.00000E+000,-1.17700E-009,50.97706E+009,70.62000E-009,104.52600E-003,1792,-60.00000E+000,2.00000E+000,-2.17200E-009,-920.80985E+006,-4.34400E-009,104.52600E-003,1664,2.00000E+000
