,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,-60.0,-8.225000000000001e-09,20.0,1.4310000000000001e-09,8.225000000000001e-09,9.069178573608528e-05,,
1,-60.0,-6.348e-09,18.0,1.3e-09,6.348e-09,7.967433714816836e-05,,
2,-60.0,-5.628e-09,16.0,3.7e-11,5.628e-09,7.50199973340442e-05,,
3,-60.0,-3.75e-09,13.99988,9.36e-10,3.75e-09,6.123724356957945e-05,,
4,-60.0,-3.2429999999999997e-09,12.0,-4.3e-11,3.2429999999999997e-09,5.694734409961539e-05,,
5,-60.0,-1.486e-09,10.000010000000001,-6.37e-10,1.486e-09,3.854867053479277e-05,,
6,-60.0,-1.79e-09,8.0,-5.39e-10,1.79e-09,4.230839160261236e-05,,
7,-60.0,-1.732e-09,6.0,-1.312e-09,1.732e-09,4.1617304093369624e-05,,
8,-60.0,-1.161e-09,4.0,-1.078e-09,1.161e-09,3.4073450074801644e-05,,
9,-60.0,-1.46e-09,2.0,-2.4909999999999998e-09,1.46e-09,3.82099463490856e-05,,
10,-60.0,-1.41e-10,-1.2e-06,-1.27e-09,1.41e-10,1.1874342087037918e-05,,
11,-60.0,7.17e-10,-1.9999900000000002,-8.03e-10,7.17e-10,2.677685567799177e-05,,
12,-60.0,-3e-12,-4.0,-1.062e-09,3e-12,1.7320508075688774e-06,,
13,-60.0,-7.92e-10,-6.0,-2.103e-09,7.92e-10,2.8142494558940576e-05,,
14,-60.0,-7.47e-10,-8.0,-1.903e-09,7.47e-10,2.7331300737432898e-05,,
15,-60.0,4.6e-11,-10.0,-1.0929999999999998e-09,4.6e-11,6.782329983125268e-06,,
16,-60.0,-5.98e-10,-12.0,-2.324e-09,5.98e-10,2.445403852127497e-05,,
17,-60.0,-2.215e-09,-14.0,-3.5820000000000002e-09,2.215e-09,4.706378650300037e-05,,
18,-60.0,-3.633e-09,-16.0,-5.213e-09,3.633e-09,6.027437266367855e-05,,
19,-60.0,-5.421e-09,-18.0,-6.194e-09,5.421e-09,7.362744053679986e-05,,
20,-60.0,-7.695e-09,-20.0,-7.919000000000001e-09,7.695e-09,8.772114910328068e-05,,
21,-60.0,-1.2817e-08,-22.0,-9.364e-09,1.2817e-08,0.00011321219015636082,,
22,-60.0,-1.7962e-08,-24.0,-1.1281e-08,1.7962e-08,0.00013402238618977054,,
23,-60.0,-2.5543999999999997e-08,-26.0,-8.354e-09,2.5543999999999997e-08,0.00015982490419205636,,
24,-60.0,-3.2095e-08,-28.0,-7.134e-09,3.2095e-08,0.00017915077448897617,,
25,-60.0,-4.1104e-08,-30.0,-7.376e-09,4.1104e-08,0.00020274121435958698,,
26,-60.0,-4.8857e-08,-32.0,-5.547e-09,4.8857e-08,0.00022103619613085998,,
27,-60.0,-6.8001e-08,-34.0,-6.453e-09,6.8001e-08,0.00026077001361352883,,
28,-60.0,-9.6966e-08,-36.0,-1.5311e-08,9.6966e-08,0.00031139364155358085,,
29,-60.0,-1.27277e-07,-38.0002,-2.1449e-08,1.27277e-07,0.00035675902231057874,,
30,-60.0,-1.43324e-07,-40.0,-7.856999999999999e-09,1.43324e-07,0.00037858156320666226,,
31,-60.0,-1.6463200000000001e-07,-42.0,-5.296e-09,1.6463200000000001e-07,0.00040574869069412905,,
32,-60.0,-1.94416e-07,-44.0,-3.1619999999999996e-09,1.94416e-07,0.0004409262976961116,,
33,-60.0,-2.24028e-07,-46.0,-2.7239999999999997e-09,2.24028e-07,0.0004733159621225551,,
34,-60.0,-2.43038e-07,-48.0,-1.899e-09,2.43038e-07,0.0004929888436871569,,
35,-60.0,-2.84246e-07,-50.0,-4.009e-09,2.84246e-07,0.00053314725920706,,
36,-60.0,-3.25332e-07,-52.0,-3.6e-09,3.25332e-07,0.0005703788214862119,,
37,-60.0,-3.6065e-07,-54.0,-2.999e-09,3.6065e-07,0.0006005414223848344,,
38,-60.0,-4.11826e-07,-56.0,-3.196e-09,4.11826e-07,0.0006417367061342214,,
39,-60.0,-4.6489600000000004e-07,-58.0,-4.884e-09,4.6489600000000004e-07,0.0006818328240852005,,
40,-60.0,-4.83635e-07,-60.0,-4.442e-09,4.83635e-07,0.0006954387104554937,,
41,-60.0,-5.16709e-07,-62.0,-4.924e-09,5.16709e-07,0.0007188247352449691,,
42,-60.0,-5.56467e-07,-64.0,-5.0900000000000004e-09,5.56467e-07,0.0007459671574539994,,
43,-60.0,-5.92488e-07,-66.0,-5.93e-09,5.92488e-07,0.0007697324210399352,,
44,-60.0,-6.23382e-07,-68.0,-7.756e-09,6.23382e-07,0.0007895454388444024,,
45,-60.0,-6.536450000000001e-07,-70.0,-1.0389e-08,6.536450000000001e-07,0.000808483147628941,,
46,-60.0,-6.899649999999999e-07,-72.0,-1.0963e-08,6.899649999999999e-07,0.00083064131850035,,
47,-60.0,-6.99251e-07,-74.0,-9.281e-09,6.99251e-07,0.0008362122936192699,,
48,-60.0,-7.3691e-07,-76.0,-1.2873e-08,7.3691e-07,0.0008584346218553862,,
49,-60.0,-7.69427e-07,-78.0,-1.5502e-08,7.69427e-07,0.0008771698809238722,,
50,-60.0,-7.91307e-07,-80.0,-1.7046e-08,7.91307e-07,0.0008895543828232201,,
51,-60.0,-8.31804e-07,-82.0,-1.2254e-08,8.31804e-07,0.0009120328941436269,,
52,-60.0,-8.51674e-07,-84.0,-1.0567e-08,8.51674e-07,0.0009228618531502968,,
53,-60.0,-8.66624e-07,-86.0,-9.254999999999999e-09,8.66624e-07,0.0009309264202932475,,
54,-60.0,-8.946089999999999e-07,-88.0,-1.0662e-08,8.946089999999999e-07,0.0009458377239251985,,
55,-60.0,-9.00754e-07,-90.0,-1.0454e-08,9.00754e-07,0.0009490806077462546,,
56,-60.0,-9.13124e-07,-92.0,-8.107e-09,9.13124e-07,0.0009555752194359166,,
57,-60.0,-9.1869e-07,-94.0,-9.066e-09,9.1869e-07,0.0009584831766911718,,
58,-60.0,-9.22287e-07,-96.0,-1.1347e-08,9.22287e-07,0.0009603577458426625,,
59,-60.0,-9.36432e-07,-98.0,-1.1550000000000001e-08,9.36432e-07,0.0009676941665629694,,
60,-60.0,-9.41285e-07,-100.0,-9.150000000000001e-09,9.41285e-07,0.0009701984333114541,,
61,-64.0,-1.2370000000000001e-08,20.0,6.18e-09,1.2370000000000001e-08,0.00011122050170719426,,
62,-64.0,-1.0839e-08,18.0,4.202e-09,1.0839e-08,0.00010411051820061219,,
63,-64.0,-1.0227999999999999e-08,16.0,1.696e-09,1.0227999999999999e-08,0.00010113357503816424,,
64,-64.0,-8.323000000000001e-09,14.0,1.671e-09,8.323000000000001e-09,9.123047736365299e-05,,
65,-64.0,-6.471e-09,12.0,1.6619999999999998e-09,6.471e-09,8.044252606675153e-05,,
66,-64.0,-4.713e-09,10.0,1.6389999999999998e-09,4.713e-09,6.86512927773396e-05,,
67,-64.0,-4.4e-09,8.0,3.02e-10,4.4e-09,6.633249580710799e-05,,
68,-64.0,-3.6320000000000003e-09,6.0,-2.91e-10,3.6320000000000003e-09,6.0266076693277456e-05,,
69,-64.0,-2.354e-09,4.0,1.67e-10,2.354e-09,4.8518037882832815e-05,,
70,-64.0,-1.8940000000000003e-09,2.0,-1.75e-09,1.8940000000000003e-09,4.352011029397789e-05,,
71,-64.0,-9.33e-10,3e-07,-1.098e-09,9.33e-10,3.054504869860253e-05,,
72,-64.0,-1.254e-09,-2.0,-8.36e-10,1.254e-09,3.541186241925155e-05,,
73,-64.0,-9.38e-10,-4.0,-5.85e-10,9.38e-10,3.062678566222711e-05,,
74,-64.0,3.54e-10,-6.0,9.22e-10,3.54e-10,1.881488772222678e-05,,
75,-64.0,-1.96e-10,-8.0,5.4e-11,1.96e-10,1.4e-05,,
76,-64.0,-1.138e-09,-10.0,-1.396e-09,1.138e-09,3.3734255586866e-05,,
77,-64.0,-7.6e-10,-12.0,-8.08e-10,7.6e-10,2.7568097504180444e-05,,
78,-64.0,1.07e-10,-14.0,1.33e-10,1.07e-10,1.0344080432788601e-05,,
79,-64.0,6.2e-11,-16.0,6.7e-11,6.2e-11,7.874007874011811e-06,,
80,-64.0,-1.116e-09,-18.0,-1.6550000000000002e-09,1.116e-09,3.3406586176980136e-05,,
81,-64.0,-6.47e-10,-20.0,-1.114e-09,6.47e-10,2.5436194683953808e-05,,
82,-64.0,2.6e-11,-22.0,-3.88e-10,2.6e-11,5.099019513592785e-06,,
83,-64.0,1.93e-10,-24.0,-2.39e-10,1.93e-10,1.3892443989449805e-05,,
84,-64.0,-4.78e-10,-26.0,-1.191e-09,4.78e-10,2.1863211109075446e-05,,
85,-64.0,-1.088e-09,-28.0,-1.734e-09,1.088e-09,3.2984845004941285e-05,,
86,-64.0,-4.98e-10,-30.0,-1.089e-09,4.98e-10,2.23159136044214e-05,,
87,-64.0,-7.97e-10,-32.0,-8.86e-10,7.97e-10,2.8231188426986207e-05,,
88,-64.0,-1.652e-09,-34.0,-1.3650000000000001e-09,1.652e-09,4.064480286580315e-05,,
89,-64.0,-4.236e-09,-36.0,-3.291e-09,4.236e-09,6.508456038109191e-05,,
90,-64.0,-7.1830000000000005e-09,-38.0,-4.384e-09,7.1830000000000005e-09,8.475258108164022e-05,,
91,-64.0,-1.1038e-08,-40.0,-4.515e-09,1.1038e-08,0.00010506188652408636,,
92,-64.0,-1.601e-08,-42.0,-6.261e-09,1.601e-08,0.00012653062870309305,,
93,-64.0,-2.384e-08,-44.0,-5.685e-09,2.384e-08,0.00015440207252495025,,
94,-64.0,-3.3626e-08,-46.0,-6.765e-09,3.3626e-08,0.0001833739348980656,,
95,-64.0,-4.7767999999999995e-08,-48.0,-6.1070000000000005e-09,4.7767999999999995e-08,0.00021855891654197043,,
96,-64.0,-6.490099999999999e-08,-50.0,-5.8750000000000005e-09,6.490099999999999e-08,0.00025475674672125956,,
97,-64.0,-8.6779e-08,-52.0,-5.603000000000001e-09,8.6779e-08,0.00029458275577501136,,
98,-64.0,-1.14535e-07,-54.0,-6.251e-09,1.14535e-07,0.00033843019959808553,,
99,-64.0,-1.45167e-07,-56.0,-6.165e-09,1.45167e-07,0.0003810078739343847,,
100,-64.0,-1.8143599999999998e-07,-58.0,-4.632e-09,1.8143599999999998e-07,0.0004259530490558789,,
101,-64.0,-2.22482e-07,-60.0,-4.706e-09,2.22482e-07,0.0004716799762550876,,
102,-64.0,-2.6948e-07,-62.0,-5.3410000000000005e-09,2.6948e-07,0.0005191146308860886,,
103,-64.0,-3.14472e-07,-64.0,-6.689e-09,3.14472e-07,0.0005607780309534246,,
104,-64.0,-3.5032699999999996e-07,-66.0,-5.977e-09,3.5032699999999996e-07,0.0005918842792303239,,
105,-64.0,-4.03345e-07,-68.0,-5.487e-09,4.03345e-07,0.0006350944811600869,,
106,-64.0,-4.51884e-07,-70.0,-6.878e-09,4.51884e-07,0.0006722231772261352,,
107,-64.0,-4.9793e-07,-72.0,-6.961e-09,4.9793e-07,0.0007056415520645025,,
108,-64.0,-5.40609e-07,-74.0,-8.277e-09,5.40609e-07,0.0007352611780857194,,
109,-64.0,-5.892710000000001e-07,-76.0,-8.951e-09,5.892710000000001e-07,0.0007676398895315433,,
110,-64.0,-6.53387e-07,-78.0002,-2.8399000000000002e-08,6.53387e-07,0.0008083235738242452,,
