Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State
1,1,1,60.00000E+000,101.99600E-009,588.25836E+006,6.11976E-006,16.77600E-003,1792,60.00000E+000,-20.00000E+000,-1.57300E-009,12.71456E+009,31.46000E-009,16.77600E-003,1728
1,1,2,60.00000E+000,72.84000E-009,823.72323E+006,4.37040E-006,30.00100E-003,1792,60.00000E+000,-18.00000E+000,1.16900E-009,-15.39778E+009,-21.04200E-009,30.00100E-003,1728
1,1,3,60.00000E+000,52.81400E-009,1.13606E+009,3.16884E-006,41.99700E-003,1792,60.00000E+000,-16.00000E+000,3.30500E-009,-4.84115E+009,-52.88000E-009,41.99700E-003,1728
1,1,4,60.00000E+000,35.41300E-009,1.69429E+009,2.12478E-006,55.59900E-003,1792,60.00000E+000,-14.00000E+000,3.51500E-009,-3.98293E+009,-49.21000E-009,55.59900E-003,1728
1,1,5,60.00000E+000,23.46400E-009,2.55711E+009,1.40784E-006,68.36400E-003,1792,60.00000E+000,-12.00000E+000,3.36300E-009,-3.56824E+009,-40.35600E-009,68.36400E-003,1728
1,1,6,60.00000E+000,14.67300E-009,4.08914E+009,880.38000E-009,80.15200E-003,1792,60.00000E+000,-10.00000E+000,3.12100E-009,-3.20410E+009,-31.21000E-009,80.15200E-003,1728
1,1,7,60.00000E+000,7.89600E-009,7.59878E+009,473.76000E-009,83.85200E-003,1792,60.00000E+000,-8.00001E+000,4.85300E-009,-1.64847E+009,-38.82405E-009,83.85200E-003,1728
1,1,8,60.00000E+000,4.85100E-009,12.36858E+009,291.06000E-009,87.60400E-003,1792,60.00000E+000,-5.99988E+000,3.99900E-009,-1.50035E+009,-23.99352E-009,87.60400E-003,1728
1,1,9,60.00000E+000,2.20400E-009,27.22323E+009,132.24000E-009,101.70800E-003,1792,60.00000E+000,-4.00000E+000,4.06700E-009,-983.52594E+006,-16.26800E-009,101.70800E-003,1728
1,1,10,60.00000E+000,-1.77300E-009,-33.84095E+009,-106.38000E-009,106.18100E-003,1792,60.00000E+000,-2.00000E+000,8.61900E-009,-232.04513E+006,-17.23797E-009,106.18100E-003,1664
1,1,11,60.00000E+000,-5.46700E-009,-10.97494E+009,-328.02000E-009,110.44000E-003,1792,60.00000E+000,4.90000E-006,10.40000E-009,471.15385E+000,50.96000E-015,110.44000E-003,1600
1,1,12,60.00000E+000,-409.00000E-012,-146.69927E+009,-24.54000E-009,122.55900E-003,1792,60.00000E+000,2.00000E+000,5.25400E-009,380.66235E+006,10.50800E-009,122.55900E-003,1664
1,1,13,60.00000E+000,-6.47000E-009,-9.27357E+009,-388.20000E-009,126.23100E-003,1792,60.00000E+000,4.00009E+000,8.05800E-009,496.41226E+006,32.23273E-009,126.23100E-003,1728
1,1,14,60.00000E+000,-1.02600E-009,-58.47953E+009,-61.56000E-009,139.11100E-003,1792,60.00000E+000,6.00000E+000,5.03700E-009,1.19119E+009,30.22200E-009,139.11100E-003,1728
1,1,15,60.00000E+000,-951.00000E-012,-63.09148E+009,-57.06000E-009,152.91000E-003,1792,60.00000E+000,8.00000E+000,4.10400E-009,1.94932E+009,32.83200E-009,152.91000E-003,1728
1,1,16,60.00000E+000,-2.00200E-009,-29.97003E+009,-120.12000E-009,164.74200E-003,1792,60.00000E+000,10.00000E+000,3.36200E-009,2.97442E+009,33.62000E-009,164.74200E-003,1728
1,1,17,60.00000E+000,-1.56400E-009,-38.36317E+009,-93.84000E-009,176.48800E-003,1792,60.00000E+000,12.00000E+000,4.40300E-009,2.72541E+009,52.83600E-009,176.48800E-003,1728
1,1,18,60.00000E+000,-593.00000E-012,-101.18044E+009,-35.58000E-009,190.69600E-003,1792,60.00000E+000,14.00000E+000,5.28600E-009,2.64851E+009,74.00400E-009,190.69600E-003,1728
1,1,19,60.00000E+000,-1.46800E-009,-40.87193E+009,-88.08000E-009,203.50000E-003,1792,60.00000E+000,16.00000E+000,4.95600E-009,3.22841E+009,79.29600E-009,203.50000E-003,1728
1,1,20,60.00000E+000,-2.60400E-009,-23.04147E+009,-156.24000E-009,215.21800E-003,1792,60.00000E+000,18.00000E+000,4.13200E-009,4.35624E+009,74.37600E-009,215.21800E-003,1728
1,1,21,60.00000E+000,-1.98600E-009,-30.21148E+009,-119.16000E-009,228.10700E-003,1792,60.00000E+000,20.00000E+000,5.01800E-009,3.98565E+009,100.36000E-009,228.10700E-003,1728
1,1,22,60.00000E+000,-1.17500E-009,-51.06383E+009,-70.50000E-009,242.37800E-003,1792,60.00000E+000,22.00000E+000,5.85100E-009,3.76004E+009,128.72200E-009,242.37800E-003,1792
1,1,23,60.00000E+000,-1.25100E-009,-47.96163E+009,-75.06000E-009,254.32600E-003,1792,60.00000E+000,24.00000E+000,6.55300E-009,3.66244E+009,157.27200E-009,254.32600E-003,1792
1,1,24,60.00000E+000,-1.55000E-009,-38.70968E+009,-93.00000E-009,267.86900E-003,1792,60.00000E+000,26.00000E+000,5.91000E-009,4.39932E+009,153.66000E-009,267.86900E-003,1792
1,1,25,60.00000E+000,-1.49700E-009,-40.08016E+009,-89.82000E-009,272.00000E-003,1792,60.00000E+000,28.00000E+000,9.11900E-009,3.07051E+009,255.33200E-009,272.00000E-003,1792
1,1,26,60.00000E+000,-845.00000E-012,-71.00592E+009,-50.70000E-009,284.72600E-003,1792,60.00000E+000,30.00000E+000,6.80200E-009,4.41047E+009,204.06000E-009,284.72600E-003,1792
1,1,27,60.00000E+000,-139.00000E-012,-431.65468E+009,-8.34000E-009,296.63500E-003,1792,60.00000E+000,32.00000E+000,5.72200E-009,5.59245E+009,183.10400E-009,296.63500E-003,1792
