,V_Drain,I_Drain,V_Gate,I_Gate
0,5e-07,-3.53e-10,0.0,3598.97
1,-2.0,-5.178e-09,3.186e-09,784.68299
2,-4.0,-5.439000000000001e-09,5.895e-09,390.16115
3,-6.00001,-3.482e-09,2.219e-09,-450.65345
4,-8.0,-3.809e-09,4.198e-09,357.31301
5,-10.0,-3.158e-09,4.053e-09,271.4039
6,-12.0,-3.718e-09,2.321e-09,43.08488
7,-14.0,-3.754e-09,1.203e-09,-581.87864
8,-16.0,-2.417e-09,2.4440000000000002e-09,818.33061
9,-18.0,-1.61e-09,3e-09,1133.33
10,-20.0,-2.738e-09,1.2800000000000001e-09,156.25
11,-22.0,-3.082e-09,4.16e-10,-2644.23
12,-24.0,-1.895e-09,1.7810000000000002e-09,-393.03762
13,-26.0,-1.194e-09,2.355e-09,-339.70276
14,-28.0,-2.385e-09,8.39e-10,2741.36
15,-30.0,-2.864e-09,1.1e-11,18181.82
16,-32.0,-1.804e-09,1.386e-09,-1226.55
17,-34.0,-9.74e-10,2.125e-09,329.41176
18,-36.0,-2.104e-09,7.72e-10,1424.87
19,-38.0,-2.5629999999999995e-09,-4.3e-11,-32558.14
20,-40.0,-1.734e-09,1.072e-09,-1865.67
21,-42.0,-1.012e-09,2.005e-09,847.8803
22,-44.0,-2.152e-09,7.55e-10,2516.56
23,-46.0,-2.903e-09,-1.1e-11,-36363.64
24,-48.0,-2.2e-09,1.575e-09,-698.4127
25,-50.0,-1.844e-09,2.6889999999999997e-09,-669.39383
26,-52.0,-3.334e-09,1.985e-09,503.77834
27,-54.0,-4.507e-09,1.881e-09,1222.75
28,-56.0,-4.514e-09,3.599e-09,138.92748
29,-58.0,-4.9709999999999995e-09,5.164e-09,232.378
30,-60.0,-6.608e-09,5.415e-09,110.80332
31,-62.0,-8.062e-09,5.974e-09,-217.60963999999998
32,-64.0,-8.929e-09,7.514e-09,133.08491
33,-66.0,-9.526e-09,9.139e-09,273.55291
34,-68.0,-1.0885e-08,9.337999999999999e-09,278.43221
35,-70.0,-1.2765e-08,7.784e-09,423.94656
36,-72.0,-1.3811e-08,7.516000000000001e-09,-172.96434
37,-74.0,-1.4156999999999999e-08,8.884e-09,382.71049
38,-76.0,-1.4982e-08,9.398e-09,436.26302999999996
39,-78.0,-1.7424e-08,8.716e-09,390.0872
40,-80.0,-1.9008e-08,8.393000000000001e-09,250.20851000000002
41,-82.0,-1.8913e-08,1.0179e-08,235.77955
42,-84.0,-1.9148e-08,1.0920000000000001e-08,128.20513
43,-86.0,-2.1678e-08,9.999e-09,260.026
44,-88.0,-2.3159999999999997e-08,9.407e-09,414.58488
45,-90.0,-2.3267000000000002e-08,1.1249e-08,444.48395
46,-92.0,-2.3595e-08,1.2277e-08,276.94062
47,-94.0,-2.5517e-08,1.1282000000000001e-08,195.00089
48,-96.0,-2.6939e-08,1.0774e-08,241.3217
49,-98.0,-2.7331e-08,1.1905e-08,134.39731
50,-100.0,-2.7709e-08,1.2585e-08,150.97338
51,1e-07,4.9869999999999994e-09,-4.2920000000000005e-09,2329920000.0
52,-2.0,8.76e-10,-9.99e-10,10010010000.0
53,-4.0,-5.3e-10,-9.7e-10,10309280000.0
54,-6.0,-3.45e-10,-3.28e-10,30487800000.0
55,-8.0,-8.07e-10,1.022e-09,-9784740000.0
56,-10.0,-6.613e-09,6.3660000000000006e-09,-1570850000.0
57,-12.0,-1.0227e-08,8.548e-09,-1169860000.0
58,-14.000010000000001,-1.1001e-08,9.435e-09,-1059880000.0
59,-16.00001,-1.0042e-08,1.0154000000000001e-08,-984833560.0
60,-18.0,-8.958e-09,9.118000000000001e-09,-1096730000.0
61,-20.0,-8.56e-09,6.813e-09,-1467780000.0
62,-22.0,-7.073000000000001e-09,5.436999999999999e-09,-1839250000.0
63,-24.0,-5.304999999999999e-09,5.325e-09,-1877930000.0
64,-26.0,-4.407e-09,4.36e-09,-2293580000.0
65,-28.0,-4.591e-09,2.713e-09,-3685960000.0
66,-30.0,-4.268e-09,2.0030000000000002e-09,-4992510000.0
67,-32.0,-3.059e-09,2.857e-09,-3500180000.0
68,-34.0,-2.341e-09,2.9780000000000003e-09,-3357960000.0
69,-36.0,-3.22e-09,1.453e-09,-6882310000.0
70,-38.0,-3.506e-09,5.18e-10,-19305020000.0
