Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,2.00000E-006,-659.00000E-012,-3.03490E+003,-1.31800E-015,17.88200E-003,1600,0.00000E+000,-1.20000E-006,-955.00000E-012,1.25654E+003,1.14600E-015,17.88200E-003,1600,0.00000E+000
1,1,2,2.00000E+000,303.00000E-012,6.60066E+009,605.99970E-012,22.58900E-003,1664,2.00000E+000,900.00000E-009,107.00000E-012,8.41121E+003,96.30000E-018,22.58900E-003,1600,0.00000E+000
1,1,3,4.00000E+000,1.11700E-009,3.58102E+009,4.46800E-009,27.09900E-003,1728,4.00000E+000,400.00000E-009,1.17400E-009,340.71550E+000,469.60000E-018,27.09900E-003,1600,0.00000E+000
1,1,4,6.00000E+000,4.00000E-012,1.50000E+012,24.00000E-012,31.24700E-003,1728,6.00000E+000,-700.00000E-009,-393.00000E-012,1.78117E+003,275.10000E-018,31.24700E-003,1600,0.00000E+000
1,1,5,8.00000E+000,-442.00000E-012,-18.09955E+009,-3.53600E-009,35.22900E-003,1728,8.00000E+000,300.00000E-009,-1.13900E-009,-263.38894E+000,-341.70000E-018,35.22900E-003,1600,0.00000E+000
1,1,6,10.00000E+000,523.00000E-012,19.12046E+009,5.23000E-009,39.18200E-003,1728,10.00000E+000,1.90000E-006,75.00000E-012,25.33333E+003,142.50000E-018,39.18200E-003,1600,0.00000E+000
1,1,7,12.00000E+000,1.23200E-009,9.74026E+009,14.78400E-009,43.12300E-003,1728,12.00000E+000,1.30000E-006,995.00000E-012,1.30653E+003,1.29350E-015,43.12300E-003,1600,0.00000E+000
1,1,8,14.00000E+000,350.00000E-012,40.00000E+009,4.90000E-009,47.11900E-003,1728,14.00000E+000,-100.00000E-009,-156.00000E-012,641.02564E+000,15.60000E-018,47.11900E-003,1600,0.00000E+000
1,1,9,16.00000E+000,-71.00000E-012,-225.35211E+009,-1.13600E-009,51.06300E-003,1728,16.00000E+000,2.70000E-006,-930.00000E-012,-2.90323E+003,-2.51100E-015,51.06300E-003,1600,0.00000E+000
1,1,10,18.00000E+000,597.00000E-012,30.15075E+009,10.74600E-009,55.30800E-003,1728,18.00000E+000,-800.00000E-009,-54.00000E-012,14.81481E+003,43.20000E-018,55.30800E-003,1600,0.00000E+000
1,1,11,20.00000E+000,1.30400E-009,15.33742E+009,26.08000E-009,59.50800E-003,1728,20.00000E+000,-200.00000E-009,851.00000E-012,-235.01763E+000,-170.20000E-018,59.50800E-003,1600,0.00000E+000
