Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State
1,1,1,60.00000E+000,57.48400E-009,1.04377E+009,3.44904E-006,16.37700E-003,1792,60.00000E+000,-20.00000E+000,218.00000E-012,-91.74312E+009,-4.36000E-009,16.37700E-003,1728
1,1,2,60.00000E+000,38.45500E-009,1.56027E+009,2.30730E-006,29.42500E-003,1792,60.00000E+000,-18.00000E+000,4.36600E-009,-4.12277E+009,-78.58800E-009,29.42500E-003,1728
1,1,3,60.00000E+000,24.09900E-009,2.48973E+009,1.44594E-006,41.68200E-003,1792,60.00000E+000,-16.00000E+000,5.41700E-009,-2.95366E+009,-86.67200E-009,41.68200E-003,1728
1,1,4,60.00000E+000,14.49600E-009,4.13907E+009,869.76000E-009,45.77000E-003,1792,60.00000E+000,-14.00000E+000,9.95800E-009,-1.40590E+009,-139.41200E-009,45.77000E-003,1728
1,1,5,60.00000E+000,8.00400E-009,7.49625E+009,480.24000E-009,59.95300E-003,1792,60.00000E+000,-12.00000E+000,7.36800E-009,-1.62866E+009,-88.41600E-009,59.95300E-003,1728
1,1,6,60.00000E+000,5.02300E-009,11.94505E+009,301.38000E-009,63.82500E-003,1792,60.00000E+000,-10.00001E+000,10.86800E-009,-920.13342E+006,-108.68011E-009,63.82500E-003,1728
1,1,7,60.00000E+000,2.34200E-009,25.61913E+009,140.52000E-009,75.91200E-003,1792,60.00000E+000,-8.00000E+000,7.71100E-009,-1.03748E+009,-61.68800E-009,75.91200E-003,1728
1,1,8,60.00000E+000,1.32300E-009,45.35147E+009,79.38000E-009,88.68100E-003,1792,60.00000E+000,-6.00000E+000,7.54700E-009,-795.01789E+006,-45.28200E-009,88.68100E-003,1728
1,1,9,60.00000E+000,1.44200E-009,41.60888E+009,86.52000E-009,101.13200E-003,1792,60.00000E+000,-4.00000E+000,8.18200E-009,-488.87802E+006,-32.72800E-009,101.13200E-003,1728
1,1,10,60.00000E+000,-30.00000E-012,-2.00000E+012,-1.80000E-009,105.38500E-003,1792,60.00000E+000,-2.00000E+000,7.27500E-009,-274.91395E+006,-14.54999E-009,105.38500E-003,1664
1,1,11,60.00000E+000,-642.00000E-012,-93.45794E+009,-38.52000E-009,109.59800E-003,1792,60.00000E+000,-900.00000E-009,6.36800E-009,-141.33166E+000,-5.73120E-015,109.59800E-003,1600
1,1,12,60.00000E+000,1.00000E-012,60.00000E+012,60.00000E-012,121.67300E-003,1792,60.00000E+000,2.00000E+000,6.15900E-009,324.72804E+006,12.31800E-009,121.67300E-003,1664
1,1,13,60.00000E+000,593.00000E-012,101.18044E+009,35.58000E-009,133.68400E-003,1792,60.00000E+000,4.00000E+000,6.36100E-009,628.83194E+006,25.44400E-009,133.68400E-003,1728
1,1,14,60.00000E+000,26.00000E-012,2.30769E+012,1.56000E-009,145.53500E-003,1792,60.00000E+000,6.00000E+000,5.14100E-009,1.16709E+009,30.84600E-009,145.53500E-003,1728
1,1,15,60.00000E+000,-298.00000E-012,-201.34228E+009,-17.88000E-009,157.45900E-003,1792,60.00000E+000,8.00000E+000,4.22900E-009,1.89170E+009,33.83200E-009,157.45900E-003,1728
1,1,16,60.00000E+000,641.00000E-012,93.60374E+009,38.46000E-009,169.27100E-003,1792,60.00000E+000,10.00000E+000,5.21600E-009,1.91718E+009,52.16000E-009,169.27100E-003,1728
1,1,17,60.00000E+000,301.00000E-012,199.33555E+009,18.06000E-009,181.01500E-003,1792,60.00000E+000,12.00000E+000,4.38300E-009,2.73785E+009,52.59600E-009,181.01500E-003,1728
1,1,18,60.00000E+000,-672.00000E-012,-89.28571E+009,-40.32000E-009,192.83200E-003,1792,60.00000E+000,14.00000E+000,2.98800E-009,4.68541E+009,41.83200E-009,192.83200E-003,1728
1,1,19,60.00000E+000,-9.00000E-012,-6.66667E+012,-540.00000E-012,204.68700E-003,1792,60.00000E+000,16.00000E+000,3.76100E-009,4.25419E+009,60.17600E-009,204.68700E-003,1728
1,1,20,60.00000E+000,955.00000E-012,62.82723E+009,57.30000E-009,218.36300E-003,1792,60.00000E+000,18.00000E+000,4.91600E-009,3.66151E+009,88.48800E-009,218.36300E-003,1728
1,1,21,60.00000E+000,-212.00000E-012,-283.01887E+009,-12.72000E-009,230.17000E-003,1792,60.00000E+000,19.99999E+000,4.12500E-009,4.84848E+009,82.49996E-009,230.17000E-003,1728
1,1,22,60.00000E+000,-1.78900E-009,-33.53829E+009,-107.34000E-009,242.32800E-003,1792,60.00000E+000,22.00000E+000,4.16200E-009,5.28592E+009,91.56400E-009,242.32800E-003,1792
1,1,23,60.00000E+000,-2.11300E-009,-28.39565E+009,-126.78000E-009,254.24700E-003,1792,60.00000E+000,24.00000E+000,5.92200E-009,4.05268E+009,142.12800E-009,254.24700E-003,1792
1,1,24,60.00000E+000,-2.36700E-009,-25.34854E+009,-142.02000E-009,266.21000E-003,1792,60.00000E+000,26.00000E+000,6.81800E-009,3.81344E+009,177.26800E-009,266.21000E-003,1792
1,1,25,60.00000E+000,-3.34200E-009,-17.95332E+009,-200.52000E-009,278.10000E-003,1792,60.00000E+000,28.00000E+000,6.50700E-009,4.30306E+009,182.19600E-009,278.10000E-003,1792
1,1,26,60.00000E+000,-3.40400E-009,-17.62632E+009,-204.24000E-009,290.07100E-003,1792,60.00000E+000,30.00000E+000,6.48200E-009,4.62820E+009,194.46000E-009,290.07100E-003,1792
1,1,27,60.00000E+000,-2.06200E-009,-29.09796E+009,-123.72000E-009,301.99300E-003,1792,60.00000E+000,32.00000E+000,8.16000E-009,3.92157E+009,261.12000E-009,301.99300E-003,1792
1,1,28,60.00000E+000,-2.42200E-009,-24.77291E+009,-145.32000E-009,314.00400E-003,1792,60.00000E+000,34.00000E+000,7.20400E-009,4.71960E+009,244.93600E-009,314.00400E-003,1792
1,1,29,60.00000E+000,-2.93300E-009,-20.45687E+009,-175.98000E-009,325.90200E-003,1792,60.00000E+000,36.00000E+000,6.05700E-009,5.94354E+009,218.05200E-009,325.90200E-003,1792
1,1,30,60.00000E+000,-2.20300E-009,-27.23559E+009,-132.18000E-009,340.81700E-003,1792,60.00000E+000,38.00000E+000,5.95200E-009,6.38441E+009,226.17600E-009,340.81700E-003,1792
1,1,31,60.00000E+000,-1.34200E-009,-44.70939E+009,-80.52000E-009,353.28900E-003,1792,60.00000E+000,40.00000E+000,6.99300E-009,5.72001E+009,279.72000E-009,353.28900E-003,1792
1,1,32,60.00000E+000,-970.00000E-012,-61.85567E+009,-58.20000E-009,365.41700E-003,1792,60.00000E+000,42.00000E+000,6.99000E-009,6.00858E+009,293.58000E-009,365.41700E-003,1792
1,1,33,60.00000E+000,-601.00000E-012,-99.83361E+009,-36.06000E-009,369.11600E-003,1792,60.00000E+000,44.00000E+000,9.55700E-009,4.60396E+009,420.50800E-009,369.11600E-003,1792
1,1,34,60.00000E+000,489.00000E-012,122.69939E+009,29.34000E-009,384.76200E-003,1792,60.00000E+000,46.00000E+000,7.77000E-009,5.92021E+009,357.42000E-009,384.76200E-003,1792
1,1,35,60.00000E+000,224.00000E-012,267.85714E+009,13.44000E-009,397.56700E-003,1792,60.00000E+000,48.00000E+000,6.66600E-009,7.20072E+009,319.96800E-009,397.56700E-003,1792
1,1,36,60.00000E+000,-402.00000E-012,-149.25373E+009,-24.12000E-009,409.63400E-003,1792,60.00000E+000,50.00000E+000,5.42800E-009,9.21150E+009,271.40000E-009,409.63400E-003,1792
1,1,37,60.00000E+000,561.00000E-012,106.95187E+009,33.66000E-009,421.68100E-003,1792,60.00000E+000,52.00000E+000,6.29200E-009,8.26446E+009,327.18400E-009,421.68100E-003,1792
