Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,800.00000E-009,-824.00000E-012,-970.87379E+000,-659.20000E-018,18.26500E-003,1600,1.10000E-006,-1.22700E-009,-896.49552E+000,-1.34970E-015,18.26500E-003,1600,0.00000E+000
1,1,2,-2.00000E+000,-49.00000E-012,40.81633E+009,98.00000E-012,22.92600E-003,1664,-300.00000E-009,337.00000E-012,-890.20772E+000,-101.10000E-018,22.92600E-003,1600,0.00000E+000
1,1,3,-4.00000E+000,-1.46300E-009,2.73411E+009,5.85200E-009,27.56100E-003,1728,200.00000E-009,2.61900E-009,76.36502E+000,523.80000E-018,27.56100E-003,1600,0.00000E+000
1,1,4,-6.00000E+000,-2.65200E-009,2.26244E+009,15.91200E-009,31.64100E-003,1728,2.30000E-006,1.44000E-009,1.59722E+003,3.31200E-015,31.64100E-003,1600,0.00000E+000
1,1,5,-8.00000E+000,-2.86000E-009,2.79720E+009,22.88000E-009,35.62600E-003,1728,800.00000E-009,449.00000E-012,1.78174E+003,359.20000E-018,35.62600E-003,1600,0.00000E+000
1,1,6,-10.00000E+000,-1.57000E-009,6.36943E+009,15.70000E-009,39.57700E-003,1728,-1.10000E-006,1.53900E-009,-714.74984E+000,-1.69290E-015,39.57700E-003,1600,0.00000E+000
1,1,7,-12.00000E+000,-663.00000E-012,18.09955E+009,7.95600E-009,43.52100E-003,1728,700.00000E-009,2.22500E-009,314.60674E+000,1.55750E-015,43.52100E-003,1600,0.00000E+000
1,1,8,-14.00000E+000,-1.72900E-009,8.09717E+009,24.20600E-009,47.45400E-003,1728,2.10000E-006,612.00000E-012,3.43137E+003,1.28520E-015,47.45400E-003,1600,0.00000E+000
1,1,9,-16.00000E+000,-2.18400E-009,7.32601E+009,34.94400E-009,51.35600E-003,1728,-1.60000E-006,-346.00000E-012,4.62428E+003,553.60000E-018,51.35600E-003,1600,0.00000E+000
1,1,10,-18.00000E+000,-1.28300E-009,14.02962E+009,23.09400E-009,55.33600E-003,1728,700.00000E-009,867.00000E-012,807.38178E+000,606.90000E-018,55.33600E-003,1600,0.00000E+000
1,1,11,-20.00000E+000,-411.00000E-012,48.66180E+009,8.22000E-009,60.19100E-003,1728,700.00000E-009,1.86500E-009,375.33512E+000,1.30550E-015,60.19100E-003,1600,0.00000E+000
1,1,12,-22.00000E+000,-1.70500E-009,12.90323E+009,37.51000E-009,64.71600E-003,1792,1.30000E-006,243.00000E-012,5.34979E+003,315.90000E-018,64.71600E-003,1600,0.00000E+000
1,1,13,-24.00000E+000,-2.13400E-009,11.24649E+009,51.21600E-009,68.82200E-003,1792,400.00000E-009,-610.00000E-012,-655.73770E+000,-244.00000E-018,68.82200E-003,1600,0.00000E+000
1,1,14,-26.00000E+000,-1.09500E-009,23.74429E+009,28.47000E-009,72.91800E-003,1792,-1.40000E-006,796.00000E-012,-1.75879E+003,-1.11440E-015,72.91800E-003,1600,0.00000E+000
1,1,15,-28.00000E+000,-455.00000E-012,61.53846E+009,12.74000E-009,77.20300E-003,1792,900.00000E-009,1.55900E-009,577.29314E+000,1.40310E-015,77.20300E-003,1600,0.00000E+000
1,1,16,-30.00000E+000,-1.60900E-009,18.64512E+009,48.27000E-009,81.18300E-003,1792,1.00000E-006,142.00000E-012,7.04225E+003,142.00000E-018,81.18300E-003,1600,0.00000E+000
1,1,17,-32.00000E+000,-2.16800E-009,14.76015E+009,69.37600E-009,85.19400E-003,1792,400.00000E-009,-700.00000E-012,-571.42857E+000,-280.00000E-018,85.19400E-003,1600,0.00000E+000
1,1,18,-34.00000E+000,-1.23600E-009,27.50809E+009,42.02400E-009,89.12200E-003,1792,100.00000E-009,699.00000E-012,143.06152E+000,69.90000E-018,89.12200E-003,1600,0.00000E+000
1,1,19,-36.00000E+000,-529.00000E-012,68.05293E+009,19.04400E-009,93.03300E-003,1792,-1.50000E-006,1.56500E-009,-958.46645E+000,-2.34750E-015,93.03300E-003,1600,0.00000E+000
1,1,20,-38.00000E+000,-1.58600E-009,23.95965E+009,60.26800E-009,96.98400E-003,1792,1.10000E-006,438.00000E-012,2.51142E+003,481.80000E-018,96.98400E-003,1600,0.00000E+000
1,1,21,-40.00000E+000,-2.12100E-009,18.85903E+009,84.84000E-009,100.95100E-003,1792,2.40000E-006,-419.00000E-012,-5.72792E+003,-1.00560E-015,100.95100E-003,1600,0.00000E+000
1,1,22,-42.00000E+000,-1.51000E-009,27.81457E+009,63.42000E-009,104.90800E-003,1792,300.00000E-009,593.00000E-012,505.90219E+000,177.90000E-018,104.90800E-003,1600,0.00000E+000
