Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-60.00000E+000,-2.96300E-009,20.24975E+009,177.78000E-009,15.87600E-003,1792,-60.00000E+000,20.00000E+000,1.10000E-009,18.18182E+009,22.00000E-009,15.87600E-003,1728,20.00000E+000
1,1,2,-60.00000E+000,-3.00200E-009,19.98668E+009,180.12000E-009,29.97500E-003,1792,-60.00000E+000,18.00000E+000,-704.00000E-012,-25.56818E+009,-12.67200E-009,29.97500E-003,1728,18.00000E+000
1,1,3,-60.00000E+000,-1.79800E-009,33.37041E+009,107.88000E-009,43.01800E-003,1792,-60.00000E+000,16.00000E+000,-447.00000E-012,-35.79418E+009,-7.15200E-009,43.01800E-003,1728,16.00000E+000
1,1,4,-60.00000E+000,-404.00000E-012,148.51485E+009,24.24000E-009,55.91900E-003,1792,-60.00000E+000,14.00000E+000,649.00000E-012,21.57165E+009,9.08600E-009,55.91900E-003,1728,14.00000E+000
1,1,5,-60.00000E+000,-518.00000E-012,115.83012E+009,31.08000E-009,67.71800E-003,1792,-60.00000E+000,12.00000E+000,-279.00000E-012,-43.01075E+009,-3.34800E-009,67.71800E-003,1728,12.00000E+000
1,1,6,-60.00000E+000,-1.19600E-009,50.16722E+009,71.76000E-009,79.65900E-003,1792,-60.00000E+000,10.00000E+000,-1.69700E-009,-5.89275E+009,-16.97000E-009,79.65900E-003,1728,10.00000E+000
1,1,7,-60.00000E+000,-421.00000E-012,142.51781E+009,25.26000E-009,91.59200E-003,1792,-60.00000E+000,8.00000E+000,-674.00000E-012,-11.86944E+009,-5.39200E-009,91.59200E-003,1728,8.00000E+000
1,1,8,-60.00000E+000,100.00000E-012,-600.00000E+009,-6.00000E-009,103.37800E-003,1792,-60.00000E+000,6.00000E+000,-447.00000E-012,-13.42282E+009,-2.68200E-009,103.37800E-003,1728,6.00000E+000
1,1,9,-60.00000E+000,-501.00000E-012,119.76048E+009,30.06000E-009,115.21100E-003,1792,-60.00000E+000,4.00000E+000,-1.09900E-009,-3.63967E+009,-4.39600E-009,115.21100E-003,1728,4.00000E+000
1,1,10,-60.00000E+000,165.00000E-012,-363.63636E+009,-9.90000E-009,119.49000E-003,1792,-60.00000E+000,2.00000E+000,-905.00000E-012,-2.20995E+009,-1.81000E-009,119.49000E-003,1664,2.00000E+000
1,1,11,-60.00000E+000,40.00000E-012,-1.50000E+012,-2.40000E-009,123.80100E-003,1792,-60.00000E+000,-100.00000E-009,-1.03300E-009,96.80542E+000,103.30000E-018,123.80100E-003,1600,0.00000E+000
1,1,12,-60.00000E+000,151.00000E-012,-397.35099E+009,-9.06000E-009,135.84300E-003,1792,-60.00000E+000,-2.00000E+000,-687.00000E-012,2.91121E+009,1.37400E-009,135.84300E-003,1664,-2.00000E+000
1,1,13,-60.00000E+000,-759.00000E-012,79.05138E+009,45.54000E-009,147.75100E-003,1792,-60.00000E+000,-4.00000E+000,-1.76000E-009,2.27273E+009,7.04000E-009,147.75100E-003,1728,-4.00000E+000
1,1,14,-60.00000E+000,-421.00000E-012,142.51781E+009,25.26000E-009,159.54400E-003,1792,-60.00000E+000,-6.00000E+000,-1.28100E-009,4.68384E+009,7.68600E-009,159.54400E-003,1728,-6.00000E+000
1,1,15,-60.00000E+000,702.00000E-012,-85.47009E+009,-42.12000E-009,171.33600E-003,1792,-60.00000E+000,-8.00000E+000,-161.00000E-012,49.68944E+009,1.28800E-009,171.33600E-003,1728,-8.00000E+000
1,1,16,-60.00000E+000,-95.00000E-012,631.57895E+009,5.70000E-009,183.19800E-003,1792,-60.00000E+000,-10.00000E+000,-1.18400E-009,8.44595E+009,11.84000E-009,183.19800E-003,1728,-10.00000E+000
1,1,17,-60.00000E+000,-414.00000E-012,144.92754E+009,24.84000E-009,195.02200E-003,1792,-60.00000E+000,-12.00000E+000,-2.26400E-009,5.30035E+009,27.16800E-009,195.02200E-003,1728,-12.00000E+000
