,V_Drain,I_Drain,V_Gate,I_Gate
0,8e-07,-3.73e-10,0.0,-6.06e-10
1,2.0,2.13e-10,-1.4e-06,3e-12
2,4.0,9e-10,-9e-07,7.3e-10
3,6.0,2.23e-10,1.3e-06,-1.36e-10
4,8.0,-6.1e-11,-1.1e-06,-7.17e-10
5,10.0,3.73e-10,1.1e-06,-7.5e-11
6,12.0,7.66e-10,-5e-07,2.48e-10
7,14.0,6.05e-10,4e-07,1.27e-10
8,16.0,1.3e-10,-1.7e-06,-6.51e-10
9,18.0,5.09e-10,-4e-07,-1.19e-10
10,20.0,9.19e-10,-8e-07,2.66e-10
11,22.0,5.88e-10,6e-07,-8.9e-11
12,24.0,2.64e-10,-1e-06,-6.64e-10
13,26.0,5.7e-10,-2.7e-06,-2.03e-10
14,28.0,9.85e-10,7e-07,1.72e-10
15,30.0,9.98e-10,-9e-07,1.66e-10
16,32.0,4.55e-10,3e-07,-7.55e-10
17,34.0,5.22e-10,-7e-07,-7.98e-10
18,36.0,1.346e-09,7e-07,-1.28e-10
19,38.0,1.565e-09,5e-07,-1.78e-10
20,40.0,1.185e-09,-7e-07,-1.4310000000000001e-09
21,42.0,1.608e-09,-2.2e-06,-1.845e-09
22,44.0,2.9920000000000004e-09,-1.1e-06,-1.258e-09
23,46.0,4.25e-09,2e-07,-5.56e-10
24,48.0,4.6100000000000004e-09,-1.4e-06,-1.872e-09
25,50.0,5.9419999999999995e-09,-3.8e-06,-2.388e-09
26,52.0,9.483e-09,-5.6e-06,-1.4130000000000002e-09
27,54.0,1.3152e-08,1e-07,-8.35e-10
28,56.0,1.6494e-08,-7e-07,-2.964e-09
29,58.0,2.1183000000000002e-08,-8e-07,-4.5639999999999995e-09
30,60.0,2.902e-08,-3.9e-06,-4.898e-09
31,62.0,3.9162e-08,-3.6e-06,-6.357e-09
32,64.0,4.9646999999999995e-08,-5.3e-06,-8.895999999999999e-09
33,66.0,6.251699999999999e-08,-4e-06,-1.2047e-08
34,68.0,7.652499999999999e-08,-4e-06,-1.3904000000000002e-08
35,70.0,6.4363e-08,1e-06,-1.119e-08
36,72.0,9.1154e-08,-1.1e-06,-1.6368e-08
37,74.0,8.8215e-08,3e-07,-1.3854e-08
38,76.0,1.24006e-07,-5.4e-06,-2.101e-08
39,78.0,1.57662e-07,-6.3e-06,-2.4817999999999998e-08
40,80.0,1.49892e-07,-1.2e-06,-1.6749e-08
41,82.0,1.52271e-07,-3.1e-06,-1.0051000000000002e-08
42,84.0,2.00924e-07,-8.3e-06,-1.7251e-08
43,86.0,2.49911e-07,-8e-06,-2.2308e-08
44,88.0,2.98458e-07,-1.38e-05,-2.6467e-08
45,90.0,2.82159e-07,-1.3e-06,-8.429e-09
46,92.0,2.95097e-07,-4.3e-06,-4.117e-09
47,94.0,3.25514e-07,-4.4e-06,-5.082e-09
48,96.0,3.6111400000000004e-07,8e-07,-5.804e-09
49,98.0,3.95355e-07,-7.1e-06,-3.91e-09
50,100.0,4.45344e-07,7e-07,-3.6470000000000003e-09
51,-1.9e-06,-6.84e-10,10.0,1.1e-09
52,2.0,2.48e-10,10.0,1.368e-09
53,4.0,-2.5e-11,10.0,8.22e-10
54,6.0,-2.5e-10,10.0,1.95e-10
55,8.0,1.32e-10,10.0,6.51e-10
56,10.0,5.55e-10,10.0,9.84e-10
57,12.0,4.53e-10,10.0,9.16e-10
