,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,3.0512999999999997e-08,-20.0,-6.31e-10,3.0512999999999997e-08,0.0001746797068923577,,
1,60.0,1.9327e-08,-18.0,1.43e-10,1.9327e-08,0.0001390215810584817,,
2,60.0,1.2988e-08,-16.0,6.49e-10,1.2988e-08,0.000113964906879267,,
3,60.0,6.2390000000000005e-09,-14.0,1.525e-09,6.2390000000000005e-09,7.898734075787082e-05,,
4,60.0,3.621e-09,-12.0,2.086e-09,3.621e-09,6.017474553332153e-05,,
5,60.0,1.56e-09,-10.0,1.701e-09,1.56e-09,3.9496835316263e-05,,
6,60.0,-3.3e-11,-8.0,4.33e-10,3.3e-11,5.744562646538029e-06,,
7,60.0,1.52e-10,-6.0,1.368e-09,1.52e-10,1.2328828005937953e-05,,
8,60.0,7.73e-10,-4.0,2.423e-09,7.73e-10,2.7802877548915688e-05,,
9,60.0,-2.27e-10,-2.0,1.356e-09,2.27e-10,1.5066519173319364e-05,,
10,60.0,-2.27e-10,-1.9e-06,1.6800000000000002e-09,2.27e-10,1.5066519173319364e-05,,
11,60.0,4.7e-11,1.9999900000000002,3.0120000000000004e-09,4.7e-11,6.855654600401044e-06,,
12,60.0,-1.3170000000000001e-09,4.0,1.957e-09,1.3170000000000001e-09,3.6290494623248114e-05,,
13,60.0,-1.265e-09,6.0,1.941e-09,1.265e-09,3.556683848755748e-05,,
14,60.0,-1.3209999999999999e-09,8.0,2.1079999999999998e-09,1.3209999999999999e-09,3.63455636907725e-05,,
15,60.0,-5.634e-09,9.999989999999999,5.782e-09,5.634e-09,7.505997601918083e-05,,
16,60.0,-2.398e-09,12.0,3.686e-09,2.398e-09,4.896937818678118e-05,,
17,60.0,-5.972e-09,13.999989999999999,6.7859999999999995e-09,5.972e-09,7.727871634544663e-05,,
18,60.0,-2.605e-09,16.0,3.477e-09,2.605e-09,5.103920062069938e-05,,
19,60.0,-1.229e-09,18.0,4.685e-09,1.229e-09,3.505709628591621e-05,,
20,60.0,-2.016e-09,19.99999,3.574e-09,2.016e-09,4.4899888641287297e-05,,
21,60.0,-2.387e-09,22.0,2.85e-09,2.387e-09,4.885693400122443e-05,,
22,60.0,-1.827e-09,24.0,3.6130000000000002e-09,1.827e-09,4.274342054632502e-05,,
23,60.0,-7.26e-10,26.0,4.465e-09,7.26e-10,2.694438717061496e-05,,
24,60.0,-1.228e-09,28.0,3.555e-09,1.228e-09,3.5042830935870466e-05,,
