,V_Drain,I_Drain,V_Gate,I_Gate
0,1.2e-06,3.06e-10,0.0,-6488.55
1,-2.0,-2.94e-10,-1.78e-10,-4494.38
2,-4.0,-9.47e-10,-1.026e-09,-877.19298
3,-6.0,-4.98e-10,2.04e-10,980.39216
4,-8.0,-5.02e-10,1.3800000000000002e-09,-797.10145
5,-10.0,-1.634e-09,1.019e-09,490.67713
6,-12.0,-1.8129999999999998e-09,2.65e-10,-754.71698
7,-14.0,-1.2570000000000001e-09,6.01e-10,831.9467599999999
8,-16.0,-7.86e-10,7.92e-10,757.57576
9,-18.0,-1.001e-09,5.07e-10,2564.1
10,-20.0,-1.395e-09,-2.86e-10,1398.6
11,-22.0,-9.66e-10,3.24e-10,-4320.99
12,-24.0,-4.29e-10,8.96e-10,-1450.89
13,-26.0,-1.033e-09,2.71e-10,-738.00738
14,-28.0,-1.343e-09,-3.62e-10,-1933.7
15,-30.0,-1.095e-09,1.09e-10,-11926.61
16,-32.0,-7.31e-10,4.7e-10,-1702.13
17,-34.0,-8.59e-10,4.91e-10,-407.33198
18,-36.0,-1.436e-09,-4.12e-10,-242.71845
19,-38.0,-1.4580000000000001e-09,-2.99e-10,-3678.93
20,-40.0,-8.36e-10,4.88e-10,-2254.1
21,-42.0,-6.27e-10,9.47e-10,-739.17635
22,-44.0,-1.54e-09,-3.05e-10,4590.16
23,-46.0,-1.986e-09,-6.58e-10,-303.95137
24,-48.0,-1.132e-09,5.99e-10,1168.61
25,-50.0,-9.21e-10,1.258e-09,1430.84
26,-52.0,-1.985e-09,8.2e-11,0.0
27,-54.0,-2.3280000000000002e-09,2.8e-10,-15000.0
28,-56.0,-1.881e-09,1.4469999999999999e-09,1174.84
29,-58.0,-2.047e-09,2.368e-09,844.59459
30,-60.0,-3.493e-09,1.591e-09,817.09617
31,-62.0,-4.571e-09,1.58e-09,63.291140000000006
32,-64.0,-4.0870000000000005e-09,3.425e-09,-204.37956
33,-66.0,-4.206e-09,5.119e-09,449.30650999999995
34,-68.0,-6.051e-09,4.2570000000000005e-09,258.39793
35,-70.0,-7.501e-09,4.284e-09,-210.08402999999998
36,-72.0,-7.41e-09,6.3839999999999995e-09,46.99248
37,-74.0,-7.594e-09,8.075e-09,74.30341
38,-76.0,-9.816e-09,7.272e-09,247.52475
39,-78.0,-1.121e-08,6.652e-09,691.52135
40,-80.0,-1.14e-08,8.234e-09,291.47437
41,-82.0,-1.1669e-08,9.213e-09,162.81342
42,-84.0,-1.3449e-08,8.590999999999999e-09,430.68327
43,-86.0,-1.479e-08,8.182e-09,256.66096
44,-88.0,-1.5305999999999998e-08,9.152e-09,382.43007
45,-90.0,-1.6022e-08,9.789e-09,163.44877
46,-92.0,-1.7128e-08,9.745e-09,112.8784
47,-94.0,-1.8754e-08,9.627e-09,207.74903999999998
48,-96.0,-1.9648e-08,1.0392e-08,221.3241
49,-98.0,-2.0315e-08,1.1388e-08,254.65402000000003
50,-100.0,-2.1278999999999998e-08,1.1756999999999999e-08,144.59471000000002
51,-4e-07,2.229e-09,-1.36e-09,7352940000.0
52,-2.0,4.62e-10,-9.83e-10,10172940000.0
53,-4.0,-6.44e-10,-1.3619999999999998e-09,7342140000.0
54,-6.0,-1.55e-10,-1.71e-10,58479530000.0
55,-8.0,3.67e-10,6.5e-10,-15384620000.0
56,-10.0,-4.6e-10,-2.38e-10,42016810000.0
57,-12.0,-1.157e-09,-5.35e-10,18691590000.0
58,-14.0,-1.865e-09,1.217e-09,-8216930000.0
59,-16.0,-2.983e-09,3.0599999999999998e-09,-3267970000.0
60,-18.0,-4.211e-09,3.567e-09,-2803480000.0
61,-20.0,-4.42e-09,2.7e-09,-3703700000.0
62,-22.0,-3.2629999999999996e-09,2.635e-09,-3795070000.0
63,-24.0,-2.153e-09,2.7110000000000003e-09,-3688680000.0
64,-26.0,-2.4759999999999997e-09,1.363e-09,-7336760000.0
65,-28.0,-2.7439999999999996e-09,2.74e-10,-36496350000.0
66,-30.0,-1.863e-09,1.136e-09,-8802820000.0
67,-32.0,-1.116e-09,1.688e-09,-5924170000.0
68,-34.0,-1.784e-09,7.32e-10,-13661200000.0
69,-36.0,-2.104e-09,-8e-12,1250000000000.0
70,-38.0,-1.566e-09,6.5e-10,-15384620000.0
71,-40.0,-1.211e-09,9.88e-10,-10121460000.0
72,-42.0,-1.5459999999999998e-09,5.75e-10,-17391300000.0
73,-44.0,-1.965e-09,-2.7e-10,37037040000.0
74,-46.0,-1.377e-09,5.35e-10,-18691590000.0
75,-48.0,-7.48e-10,1.1799999999999999e-09,-8474580000.0
76,-50.0,-1.457e-09,3.51e-10,-28490030000.0
77,-52.0,-1.8759999999999997e-09,-2.55e-10,39215690000.0
78,-54.0,-1.452e-09,3.9e-10,-25641030000.0
79,-56.0,-1.126e-09,7.35e-10,-13605440000.0
80,-58.0,-1.475e-09,5.94e-10,-16835020000.0
81,-60.0,-2.02e-09,-4e-11,250000000000.0
82,-62.0,-1.822e-09,5.03e-10,-19880720000.0
83,-64.0,-1.627e-09,1.0770000000000001e-09,-9285050000.0
84,-66.0,-2.1349999999999998e-09,1.165e-09,-8583690000.0
85,-68.0,-2.8439999999999997e-09,7.41e-10,-13495280000.0
86,-70.0,-3.014e-09,1.649e-09,-6064280000.0
87,-72.0,-3.13e-09,2.495e-09,-4008020000.0
88,-74.0,-3.775e-09,3.109e-09,-3216470000.0
89,-76.0,-5.072999999999999e-09,2.979e-09,-3356830000.0
90,-78.0,-5.826e-09,3.764e-09,-2656750000.0
