,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,-60.0,-3.453e-09,20.0,1.2959999999999999e-09,3.453e-09,5.876223276901585e-05,,
1,-60.0,-3.187e-09,18.0,-3.99e-10,3.187e-09,5.6453520705089774e-05,,
2,-60.0,-2.0300000000000002e-09,16.0,-3.5e-10,2.0300000000000002e-09,4.505552130427524e-05,,
3,-60.0,-5.87e-10,14.0,7.24e-10,5.87e-10,2.4228082879171434e-05,,
4,-60.0,-6.43e-10,12.0,-2.31e-10,6.43e-10,2.535744466621193e-05,,
5,-60.0,-1.0929999999999998e-09,10.0,-1.136e-09,1.0929999999999998e-09,3.3060550509633076e-05,,
6,-60.0,-7.99e-10,8.0,-1.143e-09,7.99e-10,2.826658805020514e-05,,
7,-60.0,-4.44e-10,6.0,-1.3650000000000001e-09,4.44e-10,2.1071307505705478e-05,,
8,-60.0,-5.4e-10,4.0,-1.444e-09,5.4e-10,2.3237900077244502e-05,,
9,-60.0,-6.99e-10,2.0,-2.079e-09,6.99e-10,2.643860813280457e-05,,
10,-60.0,1.82e-10,-4e-07,-1.148e-09,1.82e-10,1.3490737563232042e-05,,
11,-60.0,-6.65e-10,-2.0,-1.732e-09,6.65e-10,2.5787593916455254e-05,,
12,-60.0,2.06e-10,-4.0,-1.382e-09,2.06e-10,1.4352700094407325e-05,,
13,-60.0,6.78e-10,-5.99999,-6.93e-10,6.78e-10,2.6038433132583074e-05,,
14,-60.0,6.2e-11,-8.0,-9.76e-10,6.2e-11,7.874007874011811e-06,,
15,-60.0,-7.48e-10,-10.0,-2.15e-09,7.48e-10,2.7349588662354686e-05,,
16,-60.0,-2e-10,-12.0,-1.44e-09,2e-10,1.4142135623730951e-05,,
17,-60.0,4.6e-11,-14.0,-1.239e-09,4.6e-11,6.782329983125268e-06,,
18,-60.0,-6.73e-10,-16.0,-2.4759999999999997e-09,6.73e-10,2.5942243542145692e-05,,
19,-60.0,-7.22e-10,-18.0,-3.4970000000000002e-09,7.22e-10,2.6870057685088807e-05,,
20,-60.0,1.4e-11,-20.0,-2.477e-09,1.4e-11,3.7416573867739415e-06,,
21,-60.0,-1.651e-09,-22.0,-3.983e-09,1.651e-09,4.0632499307820086e-05,,
22,-60.0,-3.856e-09,-24.0,-5.989999999999999e-09,3.856e-09,6.20966987850401e-05,,
23,-60.0,-5.417e-09,-26.0,-8.01e-09,5.417e-09,7.360027173862879e-05,,
24,-60.0,-9.133e-09,-28.0,-1.5229999999999998e-08,9.133e-09,9.556673061269805e-05,,
25,-60.0,-1.2693000000000002e-08,-30.0,-1.3232999999999998e-08,1.2693000000000002e-08,0.00011266321493726336,,
26,-60.0,-1.529e-08,-32.0,-1.3846e-08,1.529e-08,0.00012365273955719703,,
27,-60.0,-2.0552e-08,-34.0,-1.7964e-08,2.0552e-08,0.0001433596874996594,,
28,-60.0,-2.7726000000000003e-08,-36.0,-2.0234e-08,2.7726000000000003e-08,0.00016651126088045818,,
29,-60.0,-4.2566e-08,-38.0,-2.9583e-08,4.2566e-08,0.0002063152926954277,,
30,-60.0,-5.5744e-08,-40.0,-2.6225e-08,5.5744e-08,0.0002361016730139793,,
31,-60.0,-6.8379e-08,-42.0,-2.3605999999999996e-08,6.8379e-08,0.0002614937857770238,,
32,-60.0,-8.1761e-08,-44.0,-2.1593e-08,8.1761e-08,0.0002859388046418324,,
33,-60.0,-9.9901e-08,-46.0,-1.8656e-08,9.9901e-08,0.0003160711945116163,,
34,-60.0,-1.22248e-07,-48.0,-2.2189e-08,1.22248e-07,0.000349639814666465,,
35,-60.0,-1.43557e-07,-50.0,-1.8227e-08,1.43557e-07,0.00037888916585196783,,
36,-60.0,-1.6020600000000003e-07,-52.0,-1.9776e-08,1.6020600000000003e-07,0.00040025741717050046,,
37,-60.0,-1.9045400000000002e-07,-54.0,-1.6904999999999998e-08,1.9045400000000002e-07,0.0004364103573473022,,
38,-60.0,-2.16885e-07,-56.0,-1.8127e-08,2.16885e-07,0.00046570913669370927,,
39,-60.0,-2.38892e-07,-58.0,-1.9938e-08,2.38892e-07,0.0004887657925837282,,
40,-60.0,-2.64501e-07,-60.0,-1.8949e-08,2.64501e-07,0.0005142966070275012,,
41,-60.0,-2.9163e-07,-62.0,-1.9182e-08,2.9163e-07,0.0005400277770633656,,
42,-60.0,-3.1123799999999997e-07,-64.0,-2.0592999999999998e-08,3.1123799999999997e-07,0.0005578870853497148,,
43,-60.0,-3.43163e-07,-66.0,-2.175e-08,3.43163e-07,0.0005858011608045856,,
44,-60.0,-3.6726100000000005e-07,-68.0,-1.8914e-08,3.6726100000000005e-07,0.0006060206267116657,,
45,-60.0,-3.78207e-07,-70.0,-2.0002e-08,3.78207e-07,0.0006149853656795421,,
