 ,Mobility,Vth,Coeff. Det.,I on/off
N-type,4.640852603645362e-05,62.51732249756277,1.0,1.000000E+02
N-type,9.244127077625467e-05,69.35063783941403,1.0,1.000000E+03
N-type,0.00012763573410788783,67.45604225272889,1.0,1.000000E+03
N-type,0.00012574382907792469,67.37368640623696,0.9911090994333492,1.000000E+02
N-type,1.836329221082227e-05,49.071402382634275,1.0,1.000000E+02
P-type,0.0010526374612124774,-51.369285463903566,0.9952280556501653,1.000000E+04
P-type,0.0009257613549380265,-44.02453595347396,0.9963984592267738,1.000000E+04
P-type,0.0014691355929253786,-42.78212536656363,0.9915083216830302,1.000000E+04
P-type,0.0012443343058838546,-37.79798242419973,0.9965976021351702,1.000000E+05
P-type,0.001543492563588668,-38.09556742955073,0.9960798453746572,1.000000E+04
