Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,400.00000E-009,-443.00000E-012,-902.93454E+000,-177.20000E-018,17.40600E-003,1600,0.00000E+000,1.40000E-006,-625.00000E-012,-2.24000E+003,-875.00000E-018,17.40600E-003,1600,0.00000E+000
1,1,2,2.00000E+000,194.00000E-012,10.30928E+009,388.00019E-012,22.45500E-003,1664,2.00000E+000,1.70000E-006,-29.00000E-012,-58.62069E+003,-49.30000E-018,22.45500E-003,1600,0.00000E+000
1,1,3,4.00000E+000,1.03100E-009,3.87973E+009,4.12400E-009,27.16000E-003,1728,4.00000E+000,100.00000E-009,982.00000E-012,101.83299E+000,98.20000E-018,27.16000E-003,1600,0.00000E+000
1,1,4,6.00000E+000,69.00000E-012,86.95652E+009,414.00000E-012,31.52800E-003,1728,6.00000E+000,1.50000E-006,-373.00000E-012,-4.02145E+003,-559.50000E-018,31.52800E-003,1600,0.00000E+000
1,1,5,8.00000E+000,-407.00000E-012,-19.65602E+009,-3.25600E-009,35.47500E-003,1728,8.00000E+000,-500.00000E-009,-1.10100E-009,454.13261E+000,550.50000E-018,35.47500E-003,1600,0.00000E+000
1,1,6,10.00000E+000,476.00000E-012,21.00840E+009,4.76000E-009,39.41400E-003,1728,10.00000E+000,-1.10000E-006,6.00000E-012,-183.33333E+003,-6.60000E-018,39.41400E-003,1600,0.00000E+000
1,1,7,12.00000E+000,1.09900E-009,10.91902E+009,13.18800E-009,43.33900E-003,1728,12.00000E+000,-2.10000E-006,756.00000E-012,-2.77778E+003,-1.58760E-015,43.33900E-003,1600,0.00000E+000
1,1,8,14.00000E+000,404.00000E-012,34.65347E+009,5.65600E-009,47.27300E-003,1728,14.00000E+000,400.00000E-009,-183.00000E-012,-2.18579E+003,-73.20000E-018,47.27300E-003,1600,0.00000E+000
1,1,9,16.00000E+000,68.00000E-012,235.29412E+009,1.08800E-009,51.17900E-003,1728,16.00000E+000,400.00000E-009,-722.00000E-012,-554.01662E+000,-288.80000E-018,51.17900E-003,1600,0.00000E+000
1,1,10,18.00000E+000,528.00000E-012,34.09091E+009,9.50400E-009,55.29900E-003,1728,18.00000E+000,500.00000E-009,-127.00000E-012,-3.93701E+003,-63.50000E-018,55.29900E-003,1600,0.00000E+000
1,1,11,20.00000E+000,1.17000E-009,17.09402E+009,23.40000E-009,59.84100E-003,1728,20.00000E+000,-1.50000E-006,685.00000E-012,-2.18978E+003,-1.02750E-015,59.84100E-003,1600,0.00000E+000
1,1,12,22.00000E+000,447.00000E-012,49.21700E+009,9.83400E-009,64.21900E-003,1792,22.00000E+000,-1.50000E-006,-246.00000E-012,6.09756E+003,369.00000E-018,64.21900E-003,1600,0.00000E+000
1,1,13,24.00000E+000,-77.00000E-012,-311.68831E+009,-1.84800E-009,68.62400E-003,1792,24.00000E+000,-3.20000E-006,-1.05000E-009,3.04762E+003,3.36000E-015,68.62400E-003,1600,0.00000E+000
1,1,14,26.00000E+000,748.00000E-012,34.75936E+009,19.44800E-009,72.94200E-003,1792,26.00000E+000,-800.00000E-009,8.00000E-012,-100.00000E+003,-6.40000E-018,72.94200E-003,1600,0.00000E+000
1,1,15,28.00000E+000,1.53900E-009,18.19363E+009,43.09200E-009,76.98400E-003,1792,28.00000E+000,-100.00000E-009,880.00000E-012,-113.63636E+000,-88.00000E-018,76.98400E-003,1600,0.00000E+000
1,1,16,30.00000E+000,587.00000E-012,51.10733E+009,17.61000E-009,80.97700E-003,1792,30.00000E+000,-1.30000E-006,-307.00000E-012,4.23453E+003,399.10000E-018,80.97700E-003,1600,0.00000E+000
1,1,17,32.00000E+000,150.00000E-012,213.33333E+009,4.80000E-009,84.91600E-003,1792,32.00000E+000,6.40000E-006,-914.00000E-012,-7.00219E+003,-5.84960E-015,84.91600E-003,1600,0.00000E+000
1,1,18,34.00000E+000,888.00000E-012,38.28829E+009,30.19200E-009,88.85600E-003,1792,34.00000E+000,-2.20000E-006,-176.00000E-012,12.50000E+003,387.20000E-018,88.85600E-003,1600,0.00000E+000
1,1,19,36.00000E+000,1.35800E-009,26.50957E+009,48.88800E-009,92.76900E-003,1792,36.00000E+000,1.80000E-006,325.00000E-012,5.53846E+003,585.00000E-018,92.76900E-003,1600,0.00000E+000
1,1,20,38.00000E+000,1.10300E-009,34.45150E+009,41.91400E-009,96.71000E-003,1792,38.00000E+000,1.30000E-006,-280.00000E-012,-4.64286E+003,-364.00000E-018,96.71000E-003,1600,0.00000E+000
1,1,21,40.00000E+000,698.00000E-012,57.30659E+009,27.92000E-009,100.65000E-003,1792,40.00000E+000,-2.70000E-006,-1.00600E-009,2.68390E+003,2.71620E-015,100.65000E-003,1600,0.00000E+000
1,1,22,42.00000E+000,1.19300E-009,35.20536E+009,50.10600E-009,104.71100E-003,1792,42.00000E+000,-500.00000E-009,-895.00000E-012,558.65922E+000,447.50000E-018,104.71100E-003,1600,0.00000E+000
1,1,23,44.00000E+000,2.11100E-009,20.84320E+009,92.88400E-009,109.02700E-003,1792,44.00000E+000,1.20000E-006,-535.00000E-012,-2.24299E+003,-642.00000E-018,109.02700E-003,1600,0.00000E+000
1,1,24,46.00000E+000,2.37100E-009,19.40110E+009,109.06600E-009,113.17500E-003,1792,46.00000E+000,-200.00000E-009,-1.27100E-009,157.35641E+000,254.20000E-018,113.17500E-003,1600,0.00000E+000
1,1,25,48.00000E+000,2.30200E-009,20.85143E+009,110.49600E-009,117.66100E-003,1792,48.00000E+000,-1.30000E-006,-2.45300E-009,529.96331E+000,3.18890E-015,117.66100E-003,1600,0.00000E+000
1,1,26,50.00000E+000,3.73700E-009,13.37972E+009,186.85000E-009,121.63500E-003,1792,50.00000E+000,-2.90000E-006,-2.46300E-009,1.17743E+003,7.14270E-015,121.63500E-003,1600,0.00000E+000
1,1,27,52.00000E+000,5.71900E-009,9.09250E+009,297.38800E-009,125.57600E-003,1792,52.00000E+000,-2.00000E-006,-1.57000E-009,1.27389E+003,3.14000E-015,125.57600E-003,1600,0.00000E+000
1,1,28,54.00000E+000,4.68600E-009,11.52369E+009,253.04400E-009,137.67800E-003,1792,54.00000E+000,-5.90000E-006,-1.36900E-009,4.30972E+003,8.07710E-015,137.67800E-003,1600,0.00000E+000
1,1,29,56.00000E+000,9.02000E-009,6.20843E+009,505.12000E-009,141.83500E-003,1792,56.00000E+000,1.30000E-006,-1.52800E-009,-850.78534E+000,-1.98640E-015,141.83500E-003,1600,0.00000E+000
1,1,30,58.00000E+000,13.93200E-009,4.16308E+009,808.05600E-009,146.15200E-003,1792,58.00000E+000,-500.00000E-009,-2.52500E-009,198.01980E+000,1.26250E-015,146.15200E-003,1600,0.00000E+000
1,1,31,60.00000E+000,19.26100E-009,3.11510E+009,1.15566E-006,150.39200E-003,1792,60.00000E+000,-1.30000E-006,-4.46200E-009,291.34917E+000,5.80060E-015,150.39200E-003,1600,0.00000E+000
1,1,32,62.00000E+000,27.29200E-009,2.27173E+009,1.69210E-006,154.49300E-003,1792,62.00000E+000,-6.60000E-006,-5.50400E-009,1.19913E+003,36.32640E-015,154.49300E-003,1600,0.00000E+000
1,1,33,64.00000E+000,36.77400E-009,1.74036E+009,2.35354E-006,158.92700E-003,1792,64.00000E+000,-400.00000E-009,-6.06600E-009,65.94131E+000,2.42640E-015,158.92700E-003,1600,0.00000E+000
1,1,34,66.00000E+000,47.92900E-009,1.37704E+009,3.16331E-006,162.85700E-003,1792,66.00000E+000,200.00000E-009,-7.07200E-009,-28.28054E+000,-1.41440E-015,162.85700E-003,1600,0.00000E+000
1,1,35,68.00000E+000,59.16600E-009,1.14931E+009,4.02329E-006,166.86300E-003,1792,68.00000E+000,-900.00000E-009,-8.95400E-009,100.51374E+000,8.05860E-015,166.86300E-003,1600,0.00000E+000
1,1,36,70.00000E+000,73.97800E-009,946.22726E+006,5.17846E-006,170.75600E-003,1792,70.00000E+000,-3.30000E-006,-9.02900E-009,365.48898E+000,29.79570E-015,170.75600E-003,1600,0.00000E+000
1,1,37,72.00000E+000,91.32700E-009,788.37584E+006,6.57554E-006,174.70200E-003,1792,72.00000E+000,-8.20000E-006,-6.56200E-009,1.24962E+003,53.80840E-015,174.70200E-003,1600,0.00000E+000
1,1,38,74.00000E+000,70.09700E-009,1.05568E+009,5.18718E-006,190.46100E-003,1792,74.00000E+000,-1.40000E-006,-232.00000E-012,6.03448E+003,324.80000E-018,190.46100E-003,1600,0.00000E+000
1,1,39,76.00000E+000,97.97600E-009,775.70017E+006,7.44618E-006,194.51200E-003,1792,76.00000E+000,-8.30000E-006,-1.46700E-009,5.65781E+003,12.17610E-015,194.51200E-003,1600,0.00000E+000
1,1,40,78.00000E+000,125.76900E-009,620.18462E+006,9.80998E-006,198.47100E-003,1792,78.00000E+000,-1.40000E-006,-3.90400E-009,358.60656E+000,5.46560E-015,198.47100E-003,1600,0.00000E+000
