,V_Drain,I_Drain,V_Gate,I_Gate
0,4e-07,-4.43e-10,0.0,-6.25e-10
1,2.0,1.94e-10,1.7e-06,-2.9e-11
2,4.0,1.031e-09,1e-07,9.82e-10
3,6.0,6.9e-11,1.5e-06,-3.73e-10
4,8.0,-4.07e-10,-5e-07,-1.101e-09
5,10.0,4.76e-10,-1.1e-06,6e-12
6,12.0,1.099e-09,-2.1e-06,7.56e-10
7,14.0,4.04e-10,4e-07,-1.83e-10
8,16.0,6.8e-11,4e-07,-7.22e-10
9,18.0,5.28e-10,5e-07,-1.27e-10
10,20.0,1.17e-09,-1.5e-06,6.85e-10
11,22.0,4.47e-10,-1.5e-06,-2.46e-10
12,24.0,-7.7e-11,-3.2e-06,-1.0499999999999999e-09
13,26.0,7.48e-10,-8e-07,8e-12
14,28.0,1.5390000000000002e-09,-1e-07,8.8e-10
15,30.0,5.87e-10,-1.3e-06,-3.07e-10
16,32.0,1.5e-10,6.4e-06,-9.14e-10
17,34.0,8.88e-10,-2.2e-06,-1.76e-10
18,36.0,1.358e-09,1.8e-06,3.25e-10
19,38.0,1.103e-09,1.3e-06,-2.8e-10
20,40.0,6.98e-10,-2.7e-06,-1.006e-09
21,42.0,1.1930000000000001e-09,-5e-07,-8.95e-10
22,44.0,2.1110000000000003e-09,1.2e-06,-5.35e-10
23,46.0,2.371e-09,-2e-07,-1.2709999999999999e-09
24,48.0,2.3019999999999997e-09,-1.3e-06,-2.4529999999999997e-09
25,50.0,3.737e-09,-2.9e-06,-2.463e-09
26,52.0,5.719e-09,-2e-06,-1.57e-09
27,54.0,4.6860000000000006e-09,-5.9e-06,-1.369e-09
28,56.0,9.02e-09,1.3e-06,-1.5279999999999999e-09
29,58.0,1.3932e-08,-5e-07,-2.525e-09
30,60.0,1.9261e-08,-1.3e-06,-4.462e-09
31,62.0,2.7292e-08,-6.6e-06,-5.504e-09
32,64.0,3.6774e-08,-4e-07,-6.066e-09
33,66.0,4.7929000000000005e-08,2e-07,-7.072e-09
34,68.0,5.9166e-08,-9e-07,-8.954e-09
35,70.0,7.3978e-08,-3.3e-06,-9.029000000000001e-09
36,72.0,9.1327e-08,-8.2e-06,-6.562e-09
37,74.0,7.0097e-08,-1.4e-06,-2.32e-10
38,76.0,9.797599999999999e-08,-8.3e-06,-1.467e-09
39,78.0,1.25769e-07,-1.4e-06,-3.9040000000000006e-09
40,80.0,1.20782e-07,8e-07,5.85e-10
41,82.0,1.59644e-07,-1.4e-06,-3.3579999999999998e-09
42,84.0,1.98482e-07,-1.1e-06,-5.211e-09
43,86.0,2.40796e-07,-1.1e-06,-4.287000000000001e-09
44,88.0,2.1702100000000002e-07,-4.2e-06,-8.05e-10
45,90.0,2.7368300000000003e-07,-7.7e-06,-2.5330000000000002e-09
46,92.0,3.25091e-07,-3.7e-06,-4.196e-09
47,94.0,3.06389e-07,2.3e-06,-4.43e-10
