,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,5.8341000000000006e-08,-20.0,-7.96e-10,5.8341000000000006e-08,0.00024153881675623073,,
1,60.0,3.9125999999999996e-08,-18.0,4.75e-10,3.9125999999999996e-08,0.00019780293223306878,,
2,60.0,2.4582e-08,-16.0,1.14e-09,2.4582e-08,0.00015678647900887373,,
3,60.0,1.2875000000000001e-08,-14.0,1.497e-09,1.2875000000000001e-08,0.00011346805717910218,,
4,60.0,5.037000000000001e-09,-12.0,1.3650000000000001e-09,5.037000000000001e-09,7.097182539571602e-05,,
5,60.0,1.5359999999999999e-09,-10.0,2.6600000000000003e-09,1.5359999999999999e-09,3.919183588453085e-05,,
6,60.0,-1.83e-10,-8.0,2.753e-09,1.83e-10,1.3527749258468682e-05,,
7,60.0,-1.114e-09,-6.0,2.048e-09,1.114e-09,3.3376638536557275e-05,,
8,60.0,-1.557e-09,-4.0,1.344e-09,1.557e-09,3.945883931389772e-05,,
9,60.0,-1.324e-09,-2.0,2.218e-09,1.324e-09,3.6386810797320505e-05,,
10,60.0,-8.14e-10,7e-07,2.929e-09,8.14e-10,2.853068523537421e-05,,
11,60.0,-8.42e-10,2.0001,3.43e-10,8.42e-10,2.9017236257093818e-05,,
12,60.0,-1.495e-09,4.0,2.508e-09,1.495e-09,3.866522985836241e-05,,
13,60.0,-1.084e-09,6.0,2.279e-09,1.084e-09,3.292415526630866e-05,,
14,60.0,-7e-12,8.0,4.229e-09,7e-12,2.6457513110645907e-06,,
15,60.0,-6.61e-10,10.0,4.477e-09,6.61e-10,2.5709920264364882e-05,,
16,60.0,-2.59e-10,12.0,8.120000000000001e-09,2.59e-10,1.609347693943108e-05,,
17,60.0,-3.1e-10,14.0,7.487000000000001e-09,3.1e-10,1.760681686165901e-05,,
18,60.0,-1.228e-09,16.0,6.721e-09,1.228e-09,3.5042830935870466e-05,,
19,60.0,-4.65e-10,18.0,7.657e-09,4.65e-10,2.1563858652847826e-05,,
20,60.0,5.54e-10,20.0,8.557e-09,5.54e-10,2.353720459187964e-05,,
21,60.0,2.61e-10,22.0,7.3389999999999996e-09,2.61e-10,1.615549442140351e-05,,
22,60.0,1.036e-09,24.0,1.0333e-08,1.036e-09,3.218695387886216e-05,,
23,60.0,1.2970000000000002e-09,26.0,6.768e-09,1.2970000000000002e-09,3.601388621073822e-05,,
24,60.0,1.19e-09,28.0,5.54e-09,1.19e-09,3.449637662132068e-05,,
25,60.0,1.113e-09,30.0,5.038e-09,1.113e-09,3.3361654635224556e-05,,
26,60.0,2.1460000000000002e-09,32.0,5.989999999999999e-09,2.1460000000000002e-09,4.632493928760188e-05,,
27,60.0,2.768e-09,34.0,6.213e-09,2.768e-09,5.261178575186362e-05,,
28,60.0,2.194e-09,36.0,5.317e-09,2.194e-09,4.684015371452148e-05,,
29,60.0,1.976e-09,38.0,4.568e-09,1.976e-09,4.445222154178574e-05,,
30,60.0,2.6140000000000003e-09,40.0,5.021999999999999e-09,2.6140000000000003e-09,5.112729212465687e-05,,
31,60.0,3.256e-09,42.0,5.552000000000001e-09,3.256e-09,5.706137047074842e-05,,
32,60.0,2.7750000000000004e-09,44.0,4.729e-09,2.7750000000000004e-09,5.26782687642637e-05,,
33,60.0,2.591e-09,46.0,4.020000000000001e-09,2.591e-09,5.0901866370497654e-05,,
34,60.0,2.835e-09,48.0,7.643e-09,2.835e-09,5.324471804789654e-05,,
35,60.0,3.1940000000000003e-09,50.0,9.652e-09,3.1940000000000003e-09,5.651548460377917e-05,,
36,60.0,3.508e-09,52.0,6.15e-09,3.508e-09,5.922837157984339e-05,,
37,60.0,2.632e-09,54.0,4.654e-09,2.632e-09,5.130302135352264e-05,,
38,60.0,3.033e-09,56.0,5.2900000000000006e-09,3.033e-09,5.507267925205746e-05,,
39,60.0,3.704e-09,58.0,6.447000000000001e-09,3.704e-09,6.086049621881176e-05,,
40,60.0,3.848e-09,60.0,6.653e-09,3.848e-09,6.20322496770833e-05,,
41,60.0,3.644e-09,62.0,6.253999999999999e-09,3.644e-09,6.0365553091146276e-05,,
42,60.0,2.737e-09,64.0,5.31e-09,2.737e-09,5.2316345438113313e-05,,
43,60.0,2.5440000000000003e-09,66.0,9.645e-09,2.5440000000000003e-09,5.043808085167397e-05,,
44,60.0,2.7089999999999996e-09,68.0,1.1909000000000001e-08,2.7089999999999996e-09,5.2048054718692414e-05,,
45,60.0,1.116e-09,70.0,1.1127000000000001e-08,1.116e-09,3.3406586176980136e-05,,
46,60.0,2.816e-09,72.0,7.612e-09,2.816e-09,5.30659966456864e-05,,
47,60.0,3.743e-09,74.0,8.573e-09,3.743e-09,6.118006211176971e-05,,
48,60.0,2.871e-09,76.0,7.568e-09,2.871e-09,5.358171329847526e-05,,
49,60.0,2.497e-09,78.0,6.731e-09,2.497e-09,4.996999099459594e-05,,
50,60.0,2.283e-09,80.0,6.5790000000000005e-09,2.283e-09,4.778074926160116e-05,,
51,60.0,2.858e-09,82.0,7.619e-09,2.858e-09,5.346026561849464e-05,,
52,60.0,3.377e-09,84.0,8.223e-09,3.377e-09,5.8111960903070546e-05,,
53,60.0,2.605e-09,86.0,7.631e-09,2.605e-09,5.103920062069938e-05,,
54,60.0,1.277e-09,88.0,6.098e-09,1.277e-09,3.5735136770411276e-05,,
55,60.0,1.383e-09,90.0,6.148e-09,1.383e-09,3.718870796357411e-05,,
56,60.0,1.658e-09,92.0,7.03e-09,1.658e-09,4.0718546143004666e-05,,
57,60.0,2.327e-09,94.0,8.279e-09,2.327e-09,4.823898838076935e-05,,
58,60.0,1.871e-09,96.0,7.665999999999999e-09,1.871e-09,4.325505750776434e-05,,
59,60.0,6.84e-10,98.0,6.4539999999999994e-09,6.84e-10,2.6153393661244043e-05,,
60,60.0,7.85e-10,100.0,6.889999999999999e-09,7.85e-10,2.80178514522438e-05,,
61,64.0,2.05256e-07,-20.0,-3.135e-09,2.05256e-07,0.00045305187340965715,,
62,64.0,1.58152e-07,-18.0,-5.7e-11,1.58152e-07,0.00039768329107469426,,
63,64.0,1.1905e-07,-16.0,9.26e-10,1.1905e-07,0.00034503622998172237,,
64,64.0,8.753199999999999e-08,-14.0,6.16e-10,8.753199999999999e-08,0.00029585807408282773,,
65,64.0,6.0427e-08,-12.0,8.02e-10,6.0427e-08,0.000245819039132448,,
66,64.0,4.0156e-08,-10.0,2.72e-09,4.0156e-08,0.00020038962048968503,,
67,64.0,2.3521e-08,-8.0,2.55e-09,2.3521e-08,0.00015336557632011168,,
68,64.0,8.899e-09,-6.0,6.334999999999999e-09,8.899e-09,9.433451118228154e-05,,
69,64.0,4.9819999999999995e-09,-4.0,3.201e-09,4.9819999999999995e-09,7.058328414008517e-05,,
70,64.0,-5.46e-10,-2.0,5.394e-09,5.46e-10,2.3366642891095844e-05,,
71,64.0,-3.15e-09,2.4e-06,4.954e-09,3.15e-09,5.6124860801609124e-05,,
72,64.0,-1.601e-09,2.0,1.988e-09,1.601e-09,4.001249804748511e-05,,
