Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-700.00000E-009,-478.00000E-012,1.46444E+003,334.60000E-018,17.67900E-003,1600,0.00000E+000,100.00000E-009,-636.00000E-012,-157.23270E+000,-63.60000E-018,17.67900E-003,1600,0.00000E+000
1,1,2,2.00000E+000,73.00000E-012,27.39726E+009,146.00000E-012,22.34500E-003,1664,2.00000E+000,-1.60000E-006,-219.00000E-012,7.30594E+003,350.40000E-018,22.34500E-003,1600,0.00000E+000
1,1,3,4.00000E+000,631.00000E-012,6.33914E+009,2.52400E-009,26.66300E-003,1728,4.00000E+000,-1.40000E-006,441.00000E-012,-3.17460E+003,-617.40000E-018,26.66300E-003,1600,0.00000E+000
1,1,4,6.00000E+000,365.00000E-012,16.43836E+009,2.19000E-009,30.76000E-003,1728,6.00000E+000,-2.20000E-006,-25.00000E-012,88.00000E+003,55.00000E-018,30.76000E-003,1600,0.00000E+000
1,1,5,8.00000E+000,-66.00000E-012,-121.21212E+009,-528.00000E-012,34.73200E-003,1728,8.00000E+000,1.60000E-006,-655.00000E-012,-2.44275E+003,-1.04800E-015,34.73200E-003,1600,0.00000E+000
1,1,6,10.00000E+000,189.00000E-012,52.91005E+009,1.89000E-009,38.66800E-003,1728,10.00000E+000,-800.00000E-009,-408.00000E-012,1.96078E+003,326.40000E-018,38.66800E-003,1600,0.00000E+000
1,1,7,12.00000E+000,829.00000E-012,14.47527E+009,9.94800E-009,42.60100E-003,1728,12.00000E+000,-700.00000E-009,394.00000E-012,-1.77665E+003,-275.80000E-018,42.60100E-003,1600,0.00000E+000
1,1,8,14.00000E+000,902.00000E-012,15.52106E+009,12.62800E-009,46.54200E-003,1728,14.00000E+000,1.00000E-006,455.00000E-012,2.19780E+003,455.00000E-018,46.54200E-003,1600,0.00000E+000
1,1,9,16.00000E+000,93.00000E-012,172.04301E+009,1.48800E-009,50.47900E-003,1728,16.00000E+000,200.00000E-009,-689.00000E-012,-290.27576E+000,-137.80000E-018,50.47900E-003,1600,0.00000E+000
1,1,10,18.00000E+000,43.00000E-012,418.60465E+009,774.00000E-012,54.63800E-003,1728,18.00000E+000,1.00000E-006,-790.00000E-012,-1.26582E+003,-790.00000E-018,54.63800E-003,1600,0.00000E+000
1,1,11,20.00000E+000,961.00000E-012,20.81165E+009,19.22000E-009,58.92500E-003,1728,20.00000E+000,-2.50000E-006,364.00000E-012,-6.86813E+003,-910.00000E-018,58.92500E-003,1600,0.00000E+000
1,1,12,22.00000E+000,880.00000E-012,25.00000E+009,19.36000E-009,63.54500E-003,1792,22.00000E+000,-600.00000E-009,202.00000E-012,-2.97030E+003,-121.20000E-018,63.54500E-003,1600,0.00000E+000
1,1,13,24.00000E+000,191.00000E-012,125.65445E+009,4.58400E-009,67.78400E-003,1792,24.00000E+000,-400.00000E-009,-745.00000E-012,536.91275E+000,298.00000E-018,67.78400E-003,1600,0.00000E+000
1,1,14,26.00000E+000,460.00000E-012,56.52174E+009,11.96000E-009,71.83900E-003,1792,26.00000E+000,-900.00000E-009,-610.00000E-012,1.47541E+003,549.00000E-018,71.83900E-003,1600,0.00000E+000
1,1,15,28.00000E+000,1.33800E-009,20.92676E+009,37.46400E-009,76.18300E-003,1792,28.00000E+000,2.10000E-006,138.00000E-012,15.21739E+003,289.80000E-018,76.18300E-003,1600,0.00000E+000
1,1,16,30.00000E+000,1.45600E-009,20.60440E+009,43.68000E-009,80.22600E-003,1792,30.00000E+000,1.60000E-006,-258.00000E-012,-6.20155E+003,-412.80000E-018,80.22600E-003,1600,0.00000E+000
1,1,17,32.00000E+000,1.18600E-009,26.98145E+009,37.95200E-009,84.24100E-003,1792,32.00000E+000,-1.20000E-006,-1.56800E-009,765.30612E+000,1.88160E-015,84.24100E-003,1600,0.00000E+000
1,1,18,34.00000E+000,1.85400E-009,18.33873E+009,63.03600E-009,88.16800E-003,1792,34.00000E+000,-1.50000E-006,-2.18100E-009,687.75791E+000,3.27150E-015,88.16800E-003,1600,0.00000E+000
1,1,19,36.00000E+000,3.75700E-009,9.58211E+009,135.25200E-009,92.09100E-003,1792,36.00000E+000,200.00000E-009,-2.18500E-009,-91.53318E+000,-437.00000E-018,92.09100E-003,1600,0.00000E+000
1,1,20,38.00000E+000,5.50000E-009,6.90909E+009,209.00000E-009,96.00900E-003,1792,38.00000E+000,-3.00000E-006,-2.91600E-009,1.02881E+003,8.74800E-015,96.00900E-003,1600,0.00000E+000
1,1,21,40.00000E+000,5.79000E-009,6.90846E+009,231.60000E-009,100.44600E-003,1792,40.00000E+000,-3.80000E-006,-3.19200E-009,1.19048E+003,12.12960E-015,100.44600E-003,1600,0.00000E+000
1,1,22,42.00000E+000,8.03200E-009,5.22908E+009,337.34400E-009,105.14900E-003,1792,42.00000E+000,-900.00000E-009,-1.68900E-009,532.85968E+000,1.52010E-015,105.14900E-003,1600,0.00000E+000
1,1,23,44.00000E+000,12.56700E-009,3.50123E+009,552.94800E-009,109.47900E-003,1792,44.00000E+000,-700.00000E-009,-1.14400E-009,611.88811E+000,800.80000E-018,109.47900E-003,1600,0.00000E+000
1,1,24,46.00000E+000,17.05500E-009,2.69716E+009,784.53000E-009,113.72000E-003,1792,46.00000E+000,-300.00000E-009,-1.87200E-009,160.25641E+000,561.60000E-018,113.72000E-003,1600,0.00000E+000
1,1,25,48.00000E+000,22.80400E-009,2.10489E+009,1.09459E-006,117.68600E-003,1792,48.00000E+000,300.00000E-009,-3.39200E-009,-88.44340E+000,-1.01760E-015,117.68600E-003,1600,0.00000E+000
1,1,26,50.00000E+000,30.98300E-009,1.61379E+009,1.54915E-006,121.63600E-003,1792,50.00000E+000,-4.80000E-006,-4.14300E-009,1.15858E+003,19.88640E-015,121.63600E-003,1600,0.00000E+000
1,1,27,52.00000E+000,41.09100E-009,1.26548E+009,2.13673E-006,125.57900E-003,1792,52.00000E+000,-1.60000E-006,-4.07500E-009,392.63804E+000,6.52000E-015,125.57900E-003,1600,0.00000E+000
1,1,28,54.00000E+000,51.14800E-009,1.05576E+009,2.76199E-006,129.53700E-003,1792,54.00000E+000,800.00000E-009,-4.26800E-009,-187.44142E+000,-3.41440E-015,129.53700E-003,1600,0.00000E+000
1,1,29,56.00000E+000,40.37800E-009,1.38689E+009,2.26117E-006,145.16200E-003,1792,56.00000E+000,-400.00000E-009,-188.00000E-012,2.12766E+003,75.20000E-018,145.16200E-003,1600,0.00000E+000
1,1,30,58.00000E+000,56.53200E-009,1.02597E+009,3.27886E-006,149.54700E-003,1792,58.00000E+000,-1.50000E-006,-3.43000E-009,437.31778E+000,5.14500E-015,149.54700E-003,1600,0.00000E+000
