Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State
1,1,1,60.00000E+000,30.64100E-009,1.95816E+009,1.83846E-006,15.83900E-003,1792,60.00000E+000,-20.00000E+000,-698.00000E-012,28.65330E+009,13.96000E-009,15.83900E-003,1728
1,1,2,60.00000E+000,15.30700E-009,3.91978E+009,918.42000E-009,29.92600E-003,1792,60.00000E+000,-18.00000E+000,-933.00000E-012,19.29260E+009,16.79400E-009,29.92600E-003,1728
1,1,3,60.00000E+000,7.09800E-009,8.45309E+009,425.88000E-009,42.99500E-003,1792,60.00000E+000,-16.00000E+000,-43.00000E-012,372.09302E+009,688.00000E-012,42.99500E-003,1728
1,1,4,60.00000E+000,3.23900E-009,18.52424E+009,194.34000E-009,55.73700E-003,1792,60.00000E+000,-14.00000E+000,1.91800E-009,-7.29927E+009,-26.85200E-009,55.73700E-003,1728
1,1,5,60.00000E+000,-1.95000E-009,-30.76923E+009,-117.00000E-009,59.22300E-003,1792,60.00000E+000,-11.99989E+000,1.53000E-009,-7.84307E+009,-18.35983E-009,59.22300E-003,1728
1,1,6,60.00000E+000,-364.00000E-012,-164.83516E+009,-21.84000E-009,71.08600E-003,1792,60.00000E+000,-10.00000E+000,2.53600E-009,-3.94322E+009,-25.36000E-009,71.08600E-003,1728
1,1,7,60.00000E+000,-790.00000E-012,-75.94937E+009,-47.40000E-009,84.41200E-003,1792,60.00000E+000,-8.00000E+000,1.64700E-009,-4.85732E+009,-13.17600E-009,84.41200E-003,1728
1,1,8,60.00000E+000,-1.61700E-009,-37.10575E+009,-97.02000E-009,97.19100E-003,1792,60.00000E+000,-6.00000E+000,222.00000E-012,-27.02703E+009,-1.33200E-009,97.19100E-003,1728
1,1,9,60.00000E+000,-791.00000E-012,-75.85335E+009,-47.46000E-009,108.99800E-003,1792,60.00000E+000,-4.00000E+000,1.02600E-009,-3.89864E+009,-4.10400E-009,108.99800E-003,1728
1,1,10,60.00000E+000,-1.43600E-009,-41.78273E+009,-86.16000E-009,113.40700E-003,1792,60.00000E+000,-2.00000E+000,558.00000E-012,-3.58423E+009,-1.11600E-009,113.40700E-003,1664
1,1,11,60.00000E+000,-353.00000E-012,-169.97167E+009,-21.18000E-009,118.35500E-003,1792,60.00000E+000,-1.50000E-006,2.00800E-009,-747.01195E+000,-3.01200E-015,118.35500E-003,1600
1,1,12,60.00000E+000,363.00000E-012,165.28926E+009,21.78000E-009,122.37700E-003,1792,60.00000E+000,2.00000E+000,3.41800E-009,585.13839E+006,6.83601E-009,122.37700E-003,1664
1,1,13,60.00000E+000,-217.00000E-012,-276.49770E+009,-13.02000E-009,135.37000E-003,1792,60.00000E+000,4.00000E+000,1.92300E-009,2.08008E+009,7.69200E-009,135.37000E-003,1728
1,1,14,60.00000E+000,-1.23900E-009,-48.42615E+009,-74.34000E-009,147.24000E-003,1792,60.00000E+000,6.00000E+000,660.00000E-012,9.09091E+009,3.96000E-009,147.24000E-003,1728
1,1,15,60.00000E+000,-771.00000E-012,-77.82101E+009,-46.26000E-009,160.79000E-003,1792,60.00000E+000,8.00000E+000,1.59000E-009,5.03145E+009,12.72000E-009,160.79000E-003,1728
1,1,16,60.00000E+000,365.00000E-012,164.38356E+009,21.90000E-009,173.18800E-003,1792,60.00000E+000,10.00000E+000,4.14900E-009,2.41022E+009,41.49000E-009,173.18800E-003,1728
1,1,17,60.00000E+000,-62.00000E-012,-967.74194E+009,-3.72000E-009,184.93100E-003,1792,60.00000E+000,12.00000E+000,4.84900E-009,2.47474E+009,58.18800E-009,184.93100E-003,1728
1,1,18,60.00000E+000,-1.13700E-009,-52.77045E+009,-68.22000E-009,197.72100E-003,1792,60.00000E+000,14.00000E+000,4.56000E-009,3.07018E+009,63.84000E-009,197.72100E-003,1728
1,1,19,60.00000E+000,-393.00000E-012,-152.67176E+009,-23.58000E-009,209.50000E-003,1792,60.00000E+000,16.00000E+000,6.22000E-009,2.57235E+009,99.52000E-009,209.50000E-003,1728
1,1,20,60.00000E+000,499.00000E-012,120.24048E+009,29.94000E-009,221.37900E-003,1792,60.00000E+000,18.00000E+000,7.94000E-009,2.26700E+009,142.92000E-009,221.37900E-003,1728
1,1,21,60.00000E+000,209.00000E-012,287.08134E+009,12.54000E-009,236.29000E-003,1792,60.00000E+000,20.00000E+000,7.33500E-009,2.72665E+009,146.70000E-009,236.29000E-003,1728
1,1,22,60.00000E+000,-627.00000E-012,-95.69378E+009,-37.62000E-009,248.38300E-003,1792,60.00000E+000,22.00000E+000,6.23500E-009,3.52847E+009,137.17000E-009,248.38300E-003,1792
1,1,23,60.00000E+000,-55.00000E-012,-1.09091E+012,-3.30000E-009,261.06300E-003,1792,60.00000E+000,24.00000E+000,6.04100E-009,3.97285E+009,144.98400E-009,261.06300E-003,1792
1,1,24,60.00000E+000,1.08000E-009,55.55556E+009,64.80000E-009,274.41600E-003,1792,60.00000E+000,26.00000E+000,6.39400E-009,4.06631E+009,166.24400E-009,274.41600E-003,1792
1,1,25,60.00000E+000,1.52000E-009,39.47368E+009,91.20000E-009,286.36400E-003,1792,60.00000E+000,28.00000E+000,6.47900E-009,4.32165E+009,181.41200E-009,286.36400E-003,1792
1,1,26,60.00000E+000,1.13100E-009,53.05040E+009,67.86000E-009,299.27000E-003,1792,60.00000E+000,30.00000E+000,5.50400E-009,5.45058E+009,165.12000E-009,299.27000E-003,1792
1,1,27,60.00000E+000,824.00000E-012,72.81553E+009,49.44000E-009,313.49000E-003,1792,60.00000E+000,32.00000E+000,4.38000E-009,7.30594E+009,140.16000E-009,313.49000E-003,1792
1,1,28,60.00000E+000,1.57900E-009,37.99873E+009,94.74000E-009,325.39800E-003,1792,60.00000E+000,34.00000E+000,5.24200E-009,6.48607E+009,178.22800E-009,325.39800E-003,1792
1,1,29,60.00000E+000,2.70000E-009,22.22222E+009,162.00000E-009,338.35900E-003,1792,60.00000E+000,36.00000E+000,6.29000E-009,5.72337E+009,226.44000E-009,338.35900E-003,1792
1,1,30,60.00000E+000,2.35100E-009,25.52105E+009,141.06000E-009,352.44200E-003,1792,60.00000E+000,38.00000E+000,5.52600E-009,6.87658E+009,209.98800E-009,352.44200E-003,1792
1,1,31,60.00000E+000,1.38600E-009,43.29004E+009,83.16000E-009,364.48000E-003,1792,60.00000E+000,40.00000E+000,4.06100E-009,9.84979E+009,162.44000E-009,364.48000E-003,1792
1,1,32,60.00000E+000,2.02700E-009,29.60039E+009,121.62000E-009,377.36700E-003,1792,60.00000E+000,42.00000E+000,4.51600E-009,9.30027E+009,189.67200E-009,377.36700E-003,1792
1,1,33,60.00000E+000,2.60600E-009,23.02379E+009,156.36000E-009,391.43800E-003,1792,60.00000E+000,44.00000E+000,5.11400E-009,8.60383E+009,225.01600E-009,391.43800E-003,1792
1,1,34,60.00000E+000,3.05700E-009,19.62709E+009,183.42000E-009,403.49400E-003,1792,60.00000E+000,46.00000E+000,5.65500E-009,8.13439E+009,260.13000E-009,403.49400E-003,1792
1,1,35,60.00000E+000,2.73900E-009,21.90581E+009,164.34000E-009,417.40300E-003,1792,60.00000E+000,48.00000E+000,5.30000E-009,9.05660E+009,254.40000E-009,417.40300E-003,1792
1,1,36,60.00000E+000,2.64400E-009,22.69289E+009,158.64000E-009,421.28300E-003,1792,60.00000E+000,50.00000E+000,9.16000E-009,5.45852E+009,458.00000E-009,421.28300E-003,1792
1,1,37,60.00000E+000,2.76200E-009,21.72339E+009,165.72000E-009,433.57200E-003,1792,60.00000E+000,52.00000E+000,6.26800E-009,8.29611E+009,325.93600E-009,433.57200E-003,1792
1,1,38,60.00000E+000,1.97500E-009,30.37975E+009,118.50000E-009,447.65400E-003,1792,60.00000E+000,54.00000E+000,4.75200E-009,11.36364E+009,256.60800E-009,447.65400E-003,1792
