Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-400.00000E-009,-379.00000E-012,1.05541E+003,151.60000E-018,18.24300E-003,1600,1.10000E-006,-564.00000E-012,-1.95035E+003,-620.40000E-018,18.24300E-003,1600,0.00000E+000
1,1,2,-2.00000E+000,-926.00000E-012,2.15983E+009,1.85200E-009,22.90000E-003,1664,-800.00000E-009,-983.00000E-012,813.83520E+000,786.40000E-018,22.90000E-003,1600,0.00000E+000
1,1,3,-4.00000E+000,22.00000E-012,-181.81818E+009,-88.00000E-012,27.59300E-003,1728,-1.50000E-006,468.00000E-012,-3.20513E+003,-702.00000E-018,27.59300E-003,1600,0.00000E+000
1,1,4,-6.00000E+000,25.00000E-012,-240.00000E+009,-150.00000E-012,31.69900E-003,1728,2.70000E-006,603.00000E-012,4.47761E+003,1.62810E-015,31.69900E-003,1600,0.00000E+000
1,1,5,-8.00000E+000,-935.00000E-012,8.55615E+009,7.48000E-009,35.70300E-003,1728,800.00000E-009,-610.00000E-012,-1.31148E+003,-488.00000E-018,35.70300E-003,1600,0.00000E+000
1,1,6,-10.00000E+000,-1.17400E-009,8.51789E+009,11.74000E-009,39.64000E-003,1728,-1.60000E-006,-883.00000E-012,1.81200E+003,1.41280E-015,39.64000E-003,1600,0.00000E+000
1,1,7,-12.00000E+000,-224.00000E-012,53.57143E+009,2.68800E-009,43.54800E-003,1728,-1.70000E-006,379.00000E-012,-4.48549E+003,-644.30000E-018,43.54800E-003,1600,0.00000E+000
1,1,8,-14.00000E+000,286.00000E-012,-48.95105E+009,-4.00400E-009,47.49500E-003,1728,100.00000E-009,1.12200E-009,89.12656E+000,112.20000E-018,47.49500E-003,1600,0.00000E+000
1,1,9,-16.00000E+000,-969.00000E-012,16.51187E+009,15.50400E-009,51.44100E-003,1728,900.00000E-009,-508.00000E-012,-1.77165E+003,-457.20000E-018,51.44100E-003,1600,0.00000E+000
1,1,10,-18.00000E+000,-1.53700E-009,11.71113E+009,27.66600E-009,55.50500E-003,1728,-1.20000E-006,-1.21900E-009,984.41345E+000,1.46280E-015,55.50500E-003,1600,0.00000E+000
