,V_Drain,I_Drain,V_Gate,I_Gate
0,-1.5e-06,2.53e-10,0.0,3.18e-10
1,2.0,7.32e-10,7e-07,6.89e-10
2,3.99999,-2.17e-10,-8e-07,-6.68e-10
3,6.0,-3.96e-10,-9e-07,-1.003e-09
4,8.0,6.57e-10,-3e-07,2.88e-10
5,10.0,1.278e-09,1.6e-06,1.055e-09
6,12.0,1.08e-10,-2e-07,-5.36e-10
7,14.0,-4.09e-10,1.4e-06,-1.22e-09
8,16.0,7.97e-10,-4e-07,2.53e-10
9,18.0,1.4050000000000002e-09,1.9e-06,1.059e-09
10,20.0,1.69e-10,-1.6e-06,-6.28e-10
11,22.0,-1.52e-10,8e-07,-1.166e-09
12,24.0,8.95e-10,-1.3e-06,2.26e-10
13,26.0,1.736e-09,2.2e-06,1.04e-09
14,28.0,5.78e-10,5e-07,-6.82e-10
15,30.0,1.73e-10,9e-07,-1.52e-09
16,32.0,1.394e-09,1.8e-06,-5.26e-10
17,34.0,2.5950000000000002e-09,-1e-07,-1.03e-10
18,36.0,2.5879999999999997e-09,7e-07,-2.083e-09
19,38.0,3.1929999999999996e-09,3e-07,-3.71e-09
20,40.0,5.038e-09,-3e-06,-3.216e-09
21,42.0,7.178e-09,-2.8e-06,-1.517e-09
22,44.0,9.351e-09,-1.7e-06,-1.24e-09
23,46.0,1.2465999999999999e-08,-2.5e-06,-2.063e-09
24,48.0,1.8015e-08,-4.3e-06,-2.472e-09
25,50.0,2.4587e-08,-8e-07,-2.08e-09
26,52.0,3.2332e-08,0.0,-2.954e-09
27,54.0,4.0092e-08,1.5e-06,-4.619e-09
28,56.0,5.0103999999999997e-08,-2.9e-06,-5.5779999999999996e-09
29,58.0,6.1491e-08,-1.4e-06,-4.799e-09
30,60.0,7.4534e-08,-1e-07,-4.712e-09
31,62.0,8.7335e-08,-3.4e-06,-6.519e-09
32,64.0,1.03627e-07,-5.3e-06,-7.542e-09
33,66.0,8.798400000000002e-08,1e-06,-1.7199999999999999e-09
34,68.0,9.242e-08,5e-07,2.23e-10
35,70.0,1.20105e-07,-1.2e-06,-3.0980000000000003e-09
36,72.0,1.47674e-07,-3.7e-06,-4.822e-09
37,74.0,1.4278600000000002e-07,2e-07,-8.75e-10
38,76.0,1.78489e-07,5e-07,-3.492e-09
39,78.0,2.14359e-07,-5e-06,-4.1760000000000005e-09
40,80.0,2.0593800000000003e-07,-4e-07,-9.28e-10
41,82.0,2.12806e-07,-8e-07,-4.98e-10
42,84.0,2.2471499999999998e-07,-8e-07,5e-12
43,86.0,2.72647e-07,-2.3e-06,-2.985e-09
44,88.0,2.78231e-07,-1e-06,-1.61e-10
45,90.0,3.30124e-07,6e-07,-3.1769999999999997e-09
46,92.0,3.32704e-07,5e-07,1.33e-10
47,94.0,3.48902e-07,-2.2e-06,-1.55e-09
48,96.0,3.7026699999999996e-07,-6e-07,-1.912e-09
49,98.0,3.92352e-07,-2e-07,-9.58e-10
50,100.0,4.1546e-07,7e-07,-2.134e-09
51,7e-07,-1.964e-09,10.0,1.088e-09
52,2.0,-5.59e-10,10.0,7.44e-10
53,3.99999,3.36e-10,10.0,9.61e-10
54,6.0,2.14e-10,10.0,3.33e-10
55,8.0,-1.58e-10,10.0,-3.91e-10
56,10.0,9.8e-11,10.0,-1.79e-10
57,11.999989999999999,7.49e-10,10.0,5.98e-10
58,14.0,7.67e-10,10.0,6.12e-10
59,16.0,-2.7e-11,10.0,-4.89e-10
60,18.0,-2.8e-11,10.0,-6.09e-10
61,20.0,8.97e-10,10.0,5.5e-10
62,22.0,8.67e-10,10.0,5.78e-10
63,24.0,1.11e-10,10.0,-5.36e-10
64,26.0,2.43e-10,10.0,-3.39e-10
65,28.0,9.81e-10,10.0,5.36e-10
66,30.0,1.146e-09,10.0,6.35e-10
67,32.0,2.43e-10,10.0,-5.5e-10
68,34.0,1.86e-10,10.0,-5.83e-10
69,36.0,1.1e-09,10.0,5.12e-10
70,38.0,1.233e-09,10.0,6.38e-10
71,40.0,3.79e-10,10.0,-6.1e-10
72,41.9999,3.45e-10,10.0,-7.53e-10
73,44.0,1.2800000000000001e-09,10.0,3.71e-10
74,46.0,1.374e-09,10.0,1.95e-10
75,48.0,8.08e-10,10.0,-9.25e-10
76,50.0,1.2379999999999999e-09,10.0,-1.051e-09
77,52.0,2.4e-09,10.0,-6.77e-10
78,54.0,3.155e-09,10.0,-1.6470000000000002e-09
79,56.0,3.502e-09,10.0,-3.372e-09
80,58.0,5.145999999999999e-09,10.0,-4.072e-09
81,60.0,7.601e-09,10.0,-2.28e-09
82,62.0,1.0302e-08,10.0,-1.326e-09
83,64.0,1.3321e-08,10.0,-2.5569999999999998e-09
84,66.0,1.8908e-08,10.0,-2.6590000000000004e-09
85,68.0,2.5318000000000002e-08,10.0,-2.477e-09
86,70.0,3.3076e-08,10.0,-3.0790000000000002e-09
87,72.0,4.0502e-08,10.0,-4.085e-09
88,74.0,5.1179e-08,10.0,-4.4890000000000005e-09
89,76.0,6.2807e-08,10.0,-3.967e-09
90,78.0,7.7453e-08,10.0,-4.848e-09
91,80.0,9.3275e-08,10.0,-5.417e-09
92,82.0,1.09055e-07,10.0,-4.173e-09
93,84.0,1.3003299999999998e-07,10.0,-3.132e-09
94,86.0,1.5125600000000001e-07,10.0,-3.515e-09
95,88.0,1.76083e-07,10.0,-4.339e-09
96,90.0,2.019e-07,10.0,-4.38e-09
97,92.0,2.2894600000000002e-07,10.0,-3.4439999999999997e-09
98,94.0,2.60819e-07,10.0,-4.347e-09
99,96.0,2.92908e-07,10.0,-5.1090000000000005e-09
100,98.0,3.28764e-07,10.0,-4.5369999999999995e-09
101,100.0,3.01465e-07,10.0,-1.381e-09
102,-1e-07,-3.4939999999999997e-09,20.0,4.295e-09
103,2.0,-2.229e-09,20.0,2.401e-09
104,4.0,-1.895e-09,20.0,8.13e-10
105,6.0,-7.3e-10,20.0,1.039e-09
106,8.0,2.32e-10,20.0,1.404e-09
107,10.0,-1.14e-10,20.0,4.01e-10
108,12.0,-3.7e-10,20.0,-2.78e-10
109,14.0,1.05e-10,20.0,1.14e-10
110,16.0,7.74e-10,20.0,5.15e-10
111,18.0,8.01e-10,20.0,1.04e-10
112,20.0,2.47e-10,19.99999,-7.81e-10
113,22.0,7.25e-10,20.0,-1.15e-10
114,24.0,1.292e-09,20.0,7.21e-10
115,26.0,6.13e-10,20.0,-1.66e-10
116,28.0,6.4e-11,20.0,-8.1e-10
117,30.0,7.23e-10,20.0,-9e-12
118,32.0,1.1350000000000001e-09,20.0,6.89e-10
119,34.0,6.49e-10,19.99999,-3.8e-11
120,36.0,1.98e-10,20.0,-5.94e-10
121,38.0,7.16e-10,20.0,-1.9e-11
122,40.0,1.126e-09,20.0,5.44e-10
123,42.0,6.61e-10,20.0,-1.6e-11
124,44.0,2.61e-10,20.0,-5.51e-10
125,46.0,7.28e-10,20.0,-9.8e-11
126,48.0,1.224e-09,20.0,4.89e-10
127,50.0,9.33e-10,20.0,-2.3e-11
128,52.0,5.3e-10,20.0,-6.96e-10
129,54.0,1.068e-09,20.0,-2.22e-10
130,56.0,1.869e-09,20.0,2.64e-10
131,58.0,1.637e-09,20.0,-8.02e-10
132,60.0,1.633e-09,20.0,-1.8410000000000002e-09
133,62.0,2.952e-09,20.0,-2.012e-09
134,64.0,4.563e-09,20.0,-2.554e-09
135,66.0,5.686e-09,19.99999,-4.45e-09
136,68.0,7.501e-09,20.0,-6.128e-09
137,70.0,1.1469e-08,19.99999,-3.815e-09
138,72.0,1.6509e-08,20.0,-1.8559999999999998e-09
139,74.0,2.2113e-08,20.0,-2.8089999999999997e-09
140,76.0,2.863e-08,20.0,-4.009e-09
141,78.0,3.6593e-08,20.0,-4.164e-09
142,80.0,4.5782e-08,20.0,-4.146e-09
143,82.0,5.6889e-08,19.99999,-5.47e-09
144,84.0,7.0658e-08,20.0,-6.949999999999999e-09
145,86.0,8.529500000000001e-08,19.99999,-6.757999999999999e-09
146,88.0,1.03482e-07,19.99999,-6.9240000000000005e-09
147,90.0,1.22045e-07,20.0,-8.138e-09
148,92.0,1.43822e-07,20.0,-8.752e-09
149,94.0,1.6561800000000002e-07,19.99999,-7.964e-09
150,96.0,1.89115e-07,19.99999,-6.903e-09
151,98.0,1.6709499999999998e-07,20.0,-6.18e-10
152,100.0,2.0503e-07,20.0,-2.306e-09
153,1.5e-06,-4.4829999999999995e-09,30.0,4.149e-09
154,2.0,-3.566e-09,30.0,1.808e-09
155,3.99999,-1.703e-09,30.0,2.333e-09
156,6.0,-3.04e-10,30.0,2.6729999999999998e-09
157,8.0,-1.031e-09,30.0,5.9e-10
158,10.0,-1.188e-09,30.0,-4.21e-10
159,12.0,2.06e-10,30.0,5.21e-10
160,14.0,1.392e-09,30.0,1.003e-09
161,16.0,6.79e-10,30.0,-6.4e-10
162,18.0,2.98e-10,30.0,-1.434e-09
163,20.0,1.137e-09,30.0,-3.05e-10
164,22.0,1.922e-09,30.0,7.58e-10
165,24.0,6.61e-10,30.0,-8.46e-10
166,26.0,6e-11,30.0,-1.5129999999999998e-09
167,28.0,1.187e-09,30.0,-6.2e-11
168,30.0,1.774e-09,30.0,1.014e-09
169,32.0,4.86e-10,30.0,-6.43e-10
170,34.0,-8e-11,30.0,-1.291e-09
171,36.0,1.059e-09,30.0,1.95e-10
172,38.0,1.684e-09,30.0,1.162e-09
173,40.0,4.45e-10,30.0,-5.36e-10
174,42.0,-7.9e-11,30.0,-1.208e-09
175,44.0,1.008e-09,30.0,2.68e-10
176,46.0,1.7480000000000002e-09,30.0,1.224e-09
177,48.0,4.33e-10,30.0,-4.7e-10
178,50.0,8e-12,30.0,-1.185e-09
179,52.0,1.12e-09,30.0,2.93e-10
180,54.0,1.896e-09,30.0,1.2009999999999999e-09
181,56.0,7.86e-10,30.0,-5.62e-10
182,58.0,2.96e-10,30.0,-1.3539999999999999e-09
