,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,60.0,7.596e-09,-20.0,-2.66e-10,7.596e-09,8.715503427800371e-05,,
1,60.0,2.5130000000000003e-09,-18.0,-8.46e-10,2.5130000000000003e-09,5.012983143797713e-05,,
2,60.0,1.11e-09,-16.0,2.15e-10,1.11e-09,3.3316662497915364e-05,,
3,60.0,2e-11,-14.0,2.11e-10,2e-11,4.472135954999579e-06,,
4,60.0,7.2e-11,-12.0,2.28e-10,7.2e-11,8.48528137423857e-06,,
5,60.0,7.58e-10,-10.0,1.855e-09,7.58e-10,2.7531799795872408e-05,,
6,60.0,-6.53e-10,-8.0,1.278e-09,6.53e-10,2.5553864678361275e-05,,
7,60.0,-1.2959999999999999e-09,-6.0,3.46e-10,1.2959999999999999e-09,3.6e-05,,
8,60.0,-1.049e-09,-4.0,5.44e-10,1.049e-09,3.238826948140329e-05,,
9,60.0,-1.011e-09,-2.0,1.042e-09,1.011e-09,3.179622619116929e-05,,
10,60.0,-2.45e-10,1e-07,2.127e-09,2.45e-10,1.5652475842498527e-05,,
11,60.0,-9.45e-10,2.0,6.2e-10,9.45e-10,3.074085229787879e-05,,
12,60.0,-1.042e-09,4.0,4.19e-10,1.042e-09,3.228002478313795e-05,,
13,60.0,-4.97e-10,6.0,1.158e-09,4.97e-10,2.2293496809607954e-05,,
14,60.0,3.03e-10,8.0,2.472e-09,3.03e-10,1.740689518552921e-05,,
15,60.0,-3.88e-10,10.0,1.953e-09,3.88e-10,1.969771560359221e-05,,
16,60.0,-6.49e-10,12.0,2.191e-09,6.49e-10,2.5475478405713993e-05,,
17,60.0,-3.16e-10,14.0,2.9749999999999998e-09,3.16e-10,1.7776388834631177e-05,,
18,60.0,-6.28e-10,16.0001,2.122e-09,6.28e-10,2.5059928172283337e-05,,
19,60.0,-8.9e-11,18.0,5.898e-09,8.9e-11,9.433981132056603e-06,,
20,60.0,1.88e-10,20.0,6.703e-09,1.88e-10,1.3711309200802088e-05,,
21,60.0,-1.53e-10,22.0,6.536999999999999e-09,1.53e-10,1.2369316876852982e-05,,
22,60.0,-8.15e-10,24.0,5.472e-09,8.15e-10,2.8548204847240396e-05,,
23,60.0,8.3e-11,26.0,6.619e-09,8.3e-11,9.110433579144299e-06,,
24,60.0,1.519e-09,28.0,7.151999999999999e-09,1.519e-09,3.8974350539810154e-05,,
25,60.0,1.6550000000000002e-09,30.0,6.237000000000001e-09,1.6550000000000002e-09,4.0681691213615986e-05,,
26,60.0,5.66e-10,32.0,4.5989999999999995e-09,5.66e-10,2.379075450674064e-05,,
27,60.0,1.559e-09,34.0,8.555000000000001e-09,1.559e-09,3.948417404479927e-05,,
28,60.0,2.3630000000000002e-09,36.0,1.0883e-08,2.3630000000000002e-09,4.861069841094654e-05,,
29,60.0,1.6300000000000002e-09,38.0,1.0424e-08,1.6300000000000002e-09,4.03732584763727e-05,,
30,60.0,2.837e-09,40.0,7.3119999999999996e-09,2.837e-09,5.32634959423431e-05,,
31,60.0,2.9280000000000002e-09,42.0,6.7810000000000005e-09,2.9280000000000002e-09,5.4110997033874734e-05,,
32,60.0,2.275e-09,44.0,5.726e-09,2.275e-09,4.7696960070847284e-05,,
33,60.0,1.917e-09,46.0,4.7149999999999995e-09,1.917e-09,4.378355855797927e-05,,
34,60.0,2.336e-09,48.0,5.306e-09,2.336e-09,4.833218389437829e-05,,
35,60.0,3.741e-09,50.0,6.989999999999999e-09,3.741e-09,6.116371473349211e-05,,
36,60.0,3.174e-09,52.0,6.2660000000000005e-09,3.174e-09,5.6338264084013096e-05,,
37,60.0,2.858e-09,54.0,5.649e-09,2.858e-09,5.346026561849464e-05,,
38,60.0,2.346e-09,56.0,5.401e-09,2.346e-09,4.843552415324934e-05,,
39,60.0,2.5950000000000002e-09,58.0,5.774e-09,2.5950000000000002e-09,5.094114250780012e-05,,
40,60.0,3.276e-09,60.0,6.652e-09,3.276e-09,5.723635208501674e-05,,
41,60.0,3.035e-09,62.0,6.684e-09,3.035e-09,5.5090834083357275e-05,,
42,60.0,2.536e-09,64.0,6.27e-09,2.536e-09,5.035871324805669e-05,,
43,60.0,1.708e-09,66.0,5.1390000000000006e-09,1.708e-09,4.132795663954365e-05,,
44,60.0,2.311e-09,68.0,6.363e-09,2.311e-09,4.807286136688766e-05,,
45,60.0,3.156e-09,70.0,7.328e-09,3.156e-09,5.6178287620752556e-05,,
46,60.0,9.56e-10,72.0,8.965e-09,9.56e-10,3.091924966748061e-05,,
47,60.0,2.464e-09,74.0,7.913e-09,2.464e-09,4.9638694583963426e-05,,
48,60.0,2.327e-09,76.0,8.005999999999999e-09,2.327e-09,4.823898838076935e-05,,
49,60.0,1.266e-09,78.0,6.717999999999999e-09,1.266e-09,3.558089374931439e-05,,
50,60.0,1.259e-09,80.0,7.038e-09,1.259e-09,3.548238999842034e-05,,
51,60.0,1.682e-09,82.0,7.318e-09,1.682e-09,4.101219330881976e-05,,
52,60.0,1.917e-09,84.0,8.035e-09,1.917e-09,4.378355855797927e-05,,
53,60.0,1.249e-09,86.0,7.538000000000001e-09,1.249e-09,3.5341194094144585e-05,,
54,60.0,3.78e-10,88.0,6.404999999999999e-09,3.78e-10,1.944222209522358e-05,,
55,60.0,6.08e-10,90.0,7.176e-09,6.08e-10,2.4657656011875906e-05,,
56,60.0,1.579e-09,92.0,8.88e-09,1.579e-09,3.973663297261105e-05,,
57,60.0,1.659e-09,94.0,8.631e-09,1.659e-09,4.07308237088326e-05,,
58,60.0,-8.93e-10,96.0,1.0668e-08,8.93e-10,2.988310559496787e-05,,
59,60.0,1.215e-09,98.0,9.689e-09,1.215e-09,3.485685011586675e-05,,
60,60.0,2.81e-10,100.0,8.504000000000001e-09,2.81e-10,1.6763054614240212e-05,,
61,64.0,8.4245e-08,-20.0,-2.474e-09,8.4245e-08,0.00029024989233417467,,
62,64.0,5.2411000000000005e-08,-18.0,-1.243e-09,5.2411000000000005e-08,0.00022893448844593076,,
63,64.0,3.2192e-08,-16.0,-1.3e-11,3.2192e-08,0.00017942129193604644,,
64,64.0,1.7538e-08,-14.0,1.064e-09,1.7538e-08,0.00013243111416883874,,
65,64.0,7.688e-09,-12.0,5.08e-10,7.688e-09,8.76812408671319e-05,,
66,64.0,3.485e-09,-10.000010000000001,2.582e-09,3.485e-09,5.903388857258177e-05,,
67,64.0,1.11e-09,-8.0,6.52e-10,1.11e-09,3.3316662497915364e-05,,
68,64.0,-6.9e-10,-6.00001,4.4369999999999995e-09,6.9e-10,2.6267851073127396e-05,,
69,64.0,-5.76e-10,-4.0,1.6289999999999999e-09,5.76e-10,2.4e-05,,
70,64.0,-1.5310000000000002e-09,-2.0,4.596e-09,1.5310000000000002e-09,3.9127995093027706e-05,,
71,64.0,-3.3579999999999998e-09,6.8e-06,4.266e-09,3.3579999999999998e-09,5.7948252777801676e-05,,
72,64.0,-3.91e-09,1.9999900000000002,3.491e-09,3.91e-09,6.252999280345393e-05,,
73,64.0,-1.452e-09,4.0,1.053e-09,1.452e-09,3.81051177665153e-05,,
74,64.0,-3.91e-10,6.0,1.743e-09,3.91e-10,1.977371993328519e-05,,
75,64.0,-2.74e-10,8.0,1.517e-09,2.74e-10,1.6552945357246847e-05,,
76,64.0,-6.15e-10,10.0,6.57e-10,6.15e-10,2.479919353527449e-05,,
77,64.0,-7.75e-10,12.0,2.41e-10,7.75e-10,2.783882181415011e-05,,
78,64.0,-5.4e-11,14.0,1.134e-09,5.4e-11,7.348469228349535e-06,,
79,64.0,1.51e-10,16.0,1.239e-09,1.51e-10,1.2288205727444508e-05,,
80,64.0,-2e-10,18.0,7.49e-10,2e-10,1.4142135623730951e-05,,
81,64.0,-5.76e-10,20.0,2.02e-10,5.76e-10,2.4e-05,,
82,64.0,-2.38e-10,22.0,1.027e-09,2.38e-10,1.5427248620541512e-05,,
83,64.0,-6.81e-10,24.0,1.04e-10,6.81e-10,2.6095976701399777e-05,,
84,64.0,-5.62e-10,26.0,2.92e-10,5.62e-10,2.3706539182259397e-05,,
85,64.0,7.46e-10,28.0,2.114e-09,7.46e-10,2.7313000567495325e-05,,
86,64.0,1.67e-10,30.0,1.4099999999999999e-09,1.67e-10,1.2922847983320086e-05,,
87,64.0,6.01e-10,32.0,2.431e-09,6.01e-10,2.4515301344262526e-05,,
88,64.0,2.25e-10,34.0,1.771e-09,2.25e-10,1.5e-05,,
89,64.0,-6.8e-10,36.0,6.74e-10,6.8e-10,2.6076809620810595e-05,,
90,64.0,-5.31e-10,38.0,8.79e-10,5.31e-10,2.3043437243605827e-05,,
91,64.0,-4.22e-10,40.0,2.054e-09,4.22e-10,2.0542638584174137e-05,,
92,64.0,-4.52e-10,42.0,1.754e-09,4.52e-10,2.12602916254693e-05,,
93,64.0,1.7e-10,44.0,2.884e-09,1.7e-10,1.3038404810405297e-05,,
94,64.0,-6.34e-10,46.0,3.5709999999999998e-09,6.34e-10,2.5179356624028343e-05,,
95,64.0,-7.8e-10,48.0,4.824e-09,7.8e-10,2.792848008753788e-05,,
96,64.0,-8.85e-10,50.0,3.039e-09,8.85e-10,2.9748949561287036e-05,,
97,64.0,-5.5e-11,52.0,3.572e-09,5.5e-11,7.416198487095663e-06,,
98,64.0,2.005e-09,54.0,5.027e-09,2.005e-09,4.477722635447622e-05,,
99,64.0,2.062e-09,56.0,3.756e-09,2.062e-09,4.5409250158970915e-05,,
100,64.0,1.898e-09,58.0,3.423e-09,1.898e-09,4.3566041821583925e-05,,
101,64.0,1.5210000000000002e-09,60.0,2.923e-09,1.5210000000000002e-09,3.9000000000000006e-05,,
102,64.0,1.817e-09,62.0,3.0620000000000004e-09,1.817e-09,4.262628297189423e-05,,
103,64.0,2.873e-09,64.0,4.555e-09,2.873e-09,5.360037313302959e-05,,
104,64.0,2.5919999999999997e-09,66.0,4.4019999999999995e-09,2.5919999999999997e-09,5.091168824543142e-05,,
105,64.0,2.368e-09,68.0,3.988e-09,2.368e-09,4.866210024238576e-05,,
106,64.0,1.7399999999999998e-09,70.0,3.4289999999999996e-09,1.7399999999999998e-09,4.171330722922842e-05,,
107,64.0,2.388e-09,72.0,4.598e-09,2.388e-09,4.8867166891482464e-05,,
108,64.0,1.029e-09,74.0,7.187e-09,1.029e-09,3.207802986469088e-05,,
109,64.0,2.07e-09,76.0,4.894e-09,2.07e-09,4.54972526643093e-05,,
110,64.0,2.5440000000000003e-09,78.0,5.923e-09,2.5440000000000003e-09,5.043808085167397e-05,,
111,64.0,2.752e-09,80.0,6.388000000000001e-09,2.752e-09,5.2459508194416006e-05,,
112,64.0,2.314e-09,82.0,6.0199999999999995e-09,2.314e-09,4.810405388322277e-05,,
113,64.0,1.2629999999999999e-09,84.0,4.981e-09,1.2629999999999999e-09,3.553871128783372e-05,,
114,64.0,1.7469999999999999e-09,86.0,6.025e-09,1.7469999999999999e-09,4.179712908801273e-05,,
115,64.0,2.736e-09,88.0,7.836e-09,2.736e-09,5.2306787322488086e-05,,
116,64.0,2.123e-09,90.0,7.203000000000001e-09,2.123e-09,4.607602413403309e-05,,
117,64.0,1.5390000000000002e-09,92.0,6.845e-09,1.5390000000000002e-09,3.9230090491866064e-05,,
118,64.0,1.039e-09,94.0,6.599e-09,1.039e-09,3.22335229225724e-05,,
119,64.0,-3.03e-10,96.0,1.0276e-08,3.03e-10,1.740689518552921e-05,,
120,64.0,1.83e-10,98.0,6.552e-09,1.83e-10,1.3527749258468682e-05,,
121,64.0,5.66e-10,100.0,7.391999999999999e-09,5.66e-10,2.379075450674064e-05,,
122,68.0,1.2403499999999999e-07,-20.0,-3.119e-09,1.2403499999999999e-07,0.00035218603038735083,,
123,68.0,7.6282e-08,-18.0,-2.3e-10,7.6282e-08,0.0002761919622291713,,
124,68.0,4.7077e-08,-16.0,1.192e-09,4.7077e-08,0.00021697234846864704,,
125,68.0,2.5277e-08,-14.0,1.033e-09,2.5277e-08,0.00015898742088605626,,
126,68.0,1.2548999999999999e-08,-12.0,-3.64e-10,1.2548999999999999e-08,0.00011202231920470135,,
127,68.0,5.859e-09,-10.000010000000001,3.367e-09,5.859e-09,7.654410493303845e-05,,
128,68.0,3.376e-09,-7.9999,2.052e-09,3.376e-09,5.81033561853358e-05,,
129,68.0,1.3400000000000001e-09,-6.0,1.7369999999999999e-09,1.3400000000000001e-09,3.660601043544626e-05,,
130,68.0,-9.18e-10,-4.0,1.071e-09,9.18e-10,3.0298514815086235e-05,,
131,68.0,-2.7579999999999998e-09,-2.0,5.289e-09,2.7579999999999998e-09,5.251666402200353e-05,,
132,68.0,-2.98e-09,3.5e-06,6.081e-09,2.98e-09,5.458937625582472e-05,,
133,68.0,-4.693e-09,1.9999900000000002,5.428e-09,4.693e-09,6.85054742338158e-05,,
134,68.0,-1.625e-09,4.0,2.487e-09,1.625e-09,4.031128874149275e-05,,
135,68.0,-8.96e-10,6.0,2.48e-09,8.96e-10,2.9933259094191532e-05,,
136,68.0,-1.358e-09,8.0,1.224e-09,1.358e-09,3.685105154537656e-05,,
137,68.0,-1.3730000000000001e-09,10.0,5.35e-10,1.3730000000000001e-09,3.705401462729781e-05,,
138,68.0,-8.85e-10,12.0,8.91e-10,8.85e-10,2.9748949561287036e-05,,
139,68.0,1.08e-10,13.999989999999999,1.864e-09,1.08e-10,1.0392304845413264e-05,,
140,68.0,-2.22e-10,16.0,1.162e-09,2.22e-10,1.489966442575134e-05,,
141,68.0,4.25e-10,17.99999,2.5990000000000002e-09,4.25e-10,2.06155281280883e-05,,
142,68.0,-1.11e-10,20.0,1.292e-09,1.11e-10,1.0535653752852739e-05,,
143,68.0,-1.168e-09,22.0,-2.06e-10,1.168e-09,3.417601498127012e-05,,
