,V_Drain,I_Drain,V_Gate,I_Gate
0,-4e-07,-3.79e-10,0.0,-1950.35
1,-2.0,-9.26e-10,-9.83e-10,813.8352
2,-4.0,2.2e-11,4.68e-10,-3205.13
3,-6.0,2.5e-11,6.03e-10,4477.61
4,-8.0,-9.35e-10,-6.1e-10,-1311.48
5,-10.0,-1.174e-09,-8.83e-10,1812.0
6,-12.0,-2.24e-10,3.79e-10,-4485.49
7,-14.0,2.86e-10,1.1219999999999998e-09,89.12656
8,-16.0,-9.69e-10,-5.08e-10,-1771.65
9,-18.0,-1.537e-09,-1.219e-09,984.41345
10,-20.0,-3.99e-10,3.45e-10,-869.56522
11,-22.0,5.7e-11,1.049e-09,2764.54
12,-24.0,-1.148e-09,-5.27e-10,-3605.31
13,-26.0,-1.6730000000000001e-09,-1.124e-09,800.7117400000001
14,-28.0,-5.41e-10,4.16e-10,-5048.08
15,-30.0,-2.5e-11,1.2470000000000001e-09,1764.23
16,-32.0,-1.3400000000000001e-09,-3.47e-10,1152.74
17,-34.0,-1.964e-09,-9.44e-10,211.86441000000002
18,-36.0,-1.085e-09,5.6e-10,1964.29
19,-38.0,-5.48e-10,1.6539999999999999e-09,-725.51391
20,-40.0,-1.908e-09,2.8e-10,714.28571
21,-42.0,-2.6840000000000002e-09,-2.51e-10,-796.81275
22,-44.0,-1.931e-09,1.5379999999999999e-09,1235.37
23,-46.0,-1.692e-09,2.915e-09,274.44254
24,-48.0,-3.369e-09,1.71e-09,1520.47
25,-50.0,-4.359e-09,1.476e-09,406.50407
26,-52.0,-3.983e-09,3.1609999999999997e-09,-189.81335
27,-54.0,-3.834e-09,4.666e-09,-150.02143
28,-56.0,-5.3410000000000005e-09,3.925e-09,356.6879
29,-58.0,-6.441e-09,3.922e-09,382.45793
30,-60.0,-6.408e-09,5.304e-09,226.24434
31,-62.0,-6.496e-09,6.511e-09,-153.58624
32,-64.0,-7.601e-09,6.494e-09,446.56605999999994
33,-66.0,-8.559e-09,6.193e-09,355.23978999999997
34,-68.0,-8.452e-09,6.143e-09,260.45906
35,-70.0,-8.475e-09,6.494e-09,123.19063999999999
36,-72.0,-9.819e-09,5.2090000000000005e-09,652.71645
37,-74.0,-1.1038e-08,4.723e-09,232.90282000000002
38,-76.0,-1.1053e-08,6.0929999999999995e-09,295.42097
39,-78.0,-1.1209e-08,7.030999999999999e-09,71.11364
40,-80.0,-1.2574e-08,6.4219999999999995e-09,327.00093
41,-82.0,-1.3482000000000001e-08,6.032e-09,513.9257299999999
42,-84.0,-1.3948e-08,6.783e-09,132.68465
43,-86.0,-1.4016e-08,7.485e-09,66.80027
44,-88.0,-1.4741999999999999e-08,7.469e-09,575.71295
45,-90.0,-1.6079e-08,6.791e-09,427.03578
46,-92.0,-1.5918e-08,7.16e-09,-195.53073
47,-94.0,-1.6046e-08,7.934e-09,113.43585
