,V_Drain,I_Drain,V_Gate,I_Gate,I_Drain_abs,I_Drain_sqrt,x_lin,y_lin
0,-60.0,-8.08e-10,20.0,4.01e-10,8.08e-10,2.842534080710379e-05,,
1,-60.0,4.5e-10,17.99999,1.166e-09,4.5e-10,2.1213203435596424e-05,,
2,-60.0,-4e-12,16.0,1.52e-10,4e-12,2e-06,,
3,-60.0,-7.58e-10,14.0,-1.136e-09,7.58e-10,2.7531799795872408e-05,,
4,-60.0,-4.8e-10,12.0,-8.03e-10,4.8e-10,2.1908902300206645e-05,,
5,-60.0,-9.38e-10,10.000010000000001,-1.974e-09,9.38e-10,3.062678566222711e-05,,
6,-60.0,-5.1e-11,8.000010000000001,-8.96e-10,5.1e-11,7.14142842854285e-06,,
7,-60.0,-5.19e-10,6.0,-1.089e-09,5.19e-10,2.2781571499789032e-05,,
8,-60.0,-5.71e-10,4.0,-1.148e-09,5.71e-10,2.389560629069704e-05,,
9,-60.0,-7.12e-10,2.0,-1.774e-09,7.12e-10,2.668332812825267e-05,,
10,-60.0,2.02e-10,1e-06,-9.32e-10,2.02e-10,1.4212670403551895e-05,,
11,-60.0,4.01e-10,-2.00007,1.5220000000000001e-09,4.01e-10,2.0024984394500786e-05,,
12,-60.0,-8.17e-10,-4.0,-3.2950000000000003e-09,8.17e-10,2.8583211855912903e-05,,
13,-60.0,-1.071e-09,-6.0,-1.454e-09,1.071e-09,3.2726136343907144e-05,,
14,-60.0,-1.987e-09,-8.0,-7.91e-10,1.987e-09,4.4575778176045336e-05,,
15,-60.0,-3.541e-09,-10.0,-1.694e-09,3.541e-09,5.950630218724736e-05,,
16,-60.0,-6.272e-09,-12.0,-2.217e-09,6.272e-09,7.919595949289332e-05,,
17,-60.0,-7.528e-09,-14.0,-1.8609999999999999e-09,7.528e-09,8.676404785393544e-05,,
18,-60.0,-1.2237e-08,-16.0,-2.53e-09,1.2237e-08,0.00011062097450302994,,
